S2J Number,SmashTag,Path
8,Ahung,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos <- Chewy <- Talen <- jtetter <- SRN | Soulrifle211
8,gbio,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- Kettering
8,Big Pivot,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- Kettering
8,BCM | veggies,S2J <- bobby big ballz <- RG | Far! <- USF | Quadae <- snacklepackle <- Stone <- Bobakanoosh <- CSB | ushi
8,dirtyDev,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- hHerb
8,Luppi,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos <- Chewy <- Alex18+ <- Strazz <- Doctor Dank
8,TNC | n3zModGod,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- kippu
8,OXY | TheCrimsonBlur,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- hHerb
9,Night,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- Kettering <- Big Pivot
9,bensw,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- Kettering <- Big Pivot
9,DCG | Spots,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- Kettering <- Big Pivot
10,BEBO,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- Kettering <- Big Pivot <- Night
NA,Snoos,NA
NA,ButterRoyaleTV,NA
NA,Special K,NA
NA,PP | Droze,NA
NA,$W@6 | rocketf20,NA
NA,Tomz,NA
NA,rickey_kc,NA
NA,glum oinkin',NA
NA,BABA | Babo,NA
NA,lemon,NA
NA,Rose,NA
NA,CID,NA
NA,LVD | Super,NA
NA,Frost | JJK,NA
NA,Fishpaste,NA
NA,Just Jason,NA
NA,Raffshot,NA
NA,Badboi,NA
NA,Hellraid,NA
NA,Sleeepy,NA
NA,CarltonDanks,NA
NA,N8V,NA
NA,Blue Jay,NA
NA,Abhi,NA
NA,KLAWHAU5,NA
NA,ACAB | Mugen,NA
NA,Daddy Icey,NA
NA,Afron,NA
NA,early,NA
NA,flowjam,NA
NA,LoneCubone,NA
NA,Sax,NA
NA,ASAPferq,NA
NA,TT | Dair,NA
NA,8167263631 | Notto,NA
NA,snek,NA
NA,Snickerdoodle,NA
