CLG. | SFAT Number,SmashTag,Path
4,eh | sickø,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly <- Cowbell
4,Penguis,CLG. | SFAT <- GUG | Kürv <- LAG <- FM | Cilan
4,TG NBR | Panos,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles
4,TheFormuoli,CLG. | SFAT <- bobby big ballz <- cliché <- Pipe
4,Musashi,CLG. | SFAT <- bobby big ballz <- cliché <- Pipe
4,Solo.,CLG. | SFAT <- bobby big ballz <- cliché <- Pipe
4,Hunybear,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles
4,Silkylaroux,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly <- Jorge
4,YoungHanSolo,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly <- Help
4,Rigo Bigo,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles
4,Captain G,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles
4,moscow mich,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman
4,DiscipleOfBorp,CLG. | SFAT <- SANS | Blues Clues <- RedX <- jams
4,Maher,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles
4,Eastwood,CLG. | SFAT <- GUG | Kürv <- LAG <- Vish
4,BABA | shama,CLG. | SFAT <- GUG | Kürv <- LAG <- BLM | Rats!
4,Dawson,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles
4,8-bit | dansdaman,CLG. | SFAT <- SANS | Blues Clues <- RedX <- Phorox
4,snacklepackle,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles
4,QoT | Cruelscotty,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles
4,John,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly <- Cowbell
4,Jakespeare,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow
4,TurboThot,CLG. | SFAT <- SANS | Blues Clues <- DD <- JustJoshin
5,Pawn,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich
5,2Framez,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- .Ðempt
5,Miranda,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- Alex18+
5,Douglas.J.Gov,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- snacklepackle
5,Stone,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- snacklepackle
5,TC | BuyMyMixTape,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- snacklepackle
5,UARK | VentusWK,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- snacklepackle
5,sucordie,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- QoT | Cruelscotty
5,Strazz,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- Alex18+
5,LUNK#783 | dom,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare
5,LanTurN,CLG. | SFAT <- SANS | Blues Clues <- RedX <- Dandy <- YBBT | leroydankins
5,CB,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- ight
5,Theftz,CLG. | SFAT <- SANS | Blues Clues <- RedX <- Dandy <- YBBT | leroydankins
5,Zeph,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- QoT | Cruelscotty
5,Arctic,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf
5,codeman,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- snacklepackle
5,Talen,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare
5,CLEM#112 | Clem,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- ight
5,OXY | TheCrimsonBlur,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly <- Jorge <- Silkylaroux
5,Chewy,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- Alex18+
5,FISA | JoJo,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- ight
5,Sporsinick,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- ight
6,foxmcchicken,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
6,Den,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- Alex18+ <- Chewy
6,LewdCelebs4Free,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
6,STP,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic
6,jtetter,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare <- Talen
6,Acuna,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
6,ericiscool.net,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- Alex18+ <- Strazz
6,Travy,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- snacklepackle <- UARK | VentusWK
6,Fraud,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
6,Doctor Dank,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- Alex18+ <- Strazz
6,pointykitty,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
6,RB | V$,CLG. | SFAT <- SANS | Blues Clues <- RedX <- Dandy <- YBBT | leroydankins <- LanTurN
6,CVSmashMods | Ripn,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
6,SDJ | SudoJoe,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
6,Futz,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- Alex18+ <- Chewy
6,Tourist,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
6,CSR | Tezlik,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- Alex18+ <- Miranda
6,Mounir,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- QoT | Cruelscotty <- sucordie
6,Bobakanoosh,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- snacklepackle <- Stone
6,Watermelons,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
6,adamaggy,CLG. | SFAT <- SANS | Blues Clues <- RedX <- Dandy <- YBBT | leroydankins <- LanTurN
6,bird | unlucky,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
6,ZUTH | Zuthane,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- Alex18+ <- Strazz
6,WOMB#619 | Wombat,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
6,markrevival,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn
7,Tammerath,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare <- Talen <- jtetter
7,Kettering,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty
7,ushi,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare <- Talen <- jtetter
7,Rome0,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic <- STP
7,Blanks,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare <- Talen <- jtetter
7,ImYourDade,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- LewdCelebs4Free
7,dabt,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- foxmcchicken
7,CAPTwheatroll,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic <- STP
7,ASAPferq,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic <- STP
7,Drewski,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare <- Talen <- jtetter
7,Melos,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- SDJ | SudoJoe
