Rank,ChangeInRank,SmashTag,Wins,Losses,Win%,BankRoll Bills
76.0,++ 36.0,RedX,18,19,48.65,24.0
77.0,New,WW | Lemonjuices,12,7,63.16,22.0
77.0,-- 11.0,LanTurN,16,21,43.24,22.0
79.0,-- 6.0,Pawn,16,51,23.88,21.0
79.0,-- 12.0,Thad <3,14,13,51.85,21.0
79.0,-- 12.0,darkwizard123,11,7,61.11,21.0
79.0,-- 12.0,ycz6,11,4,73.33,21.0
83.0,-- 13.0,ROFL,14,11,56.0,19.0
83.0,++ 18.0,Soltrain,9,8,52.94,19.0
85.0,-- 14.0,SonOfJ,8,8,50.0,18.0
85.0,New,Rive,13,16,44.83,18.0
87.0,New,Arctic,12,10,54.55,17.0
87.0,-- 14.0,CLEM#112 | Clem,12,9,57.14,17.0
87.0,-- 14.0,Hunybear,12,9,57.14,17.0
87.0,-- 14.0,Jorge,12,12,50.0,17.0
87.0,++ 53.0,Jakespeare,11,24,31.43,17.0
92.0,-- 14.0,2Framez,9,7,56.25,15.0
92.0,-- 14.0,BLM | Rats!,10,13,43.48,15.0
92.0,-- 14.0,Milo,10,10,50.0,15.0
92.0,-- 14.0,Chubbz,10,10,50.0,15.0
92.0,-- 14.0,Solo.,10,9,52.63,15.0
97.0,-- 14.0,Dawson,9,8,52.94,14.0
97.0,-- 14.0,DHB | IggyNieves,9,7,56.25,14.0
97.0,-- 14.0,ericiscool.net,2,8,20.0,14.0
97.0,-- 14.0,ScrubUp,9,8,52.94,14.0
97.0,-- 14.0,Douglas.J.Gov,13,16,44.83,14.0
102.0,-- 14.0,JustJoshin,11,13,45.83,13.0
103.0,New,CSR | Tezlik,7,9,43.75,12.0
103.0,-- 13.0,BABA | shama,7,5,58.33,12.0
103.0,-- 13.0,W8ASec,7,7,50.0,12.0
103.0,-- 13.0,Zeph,7,5,58.33,12.0
103.0,-- 13.0,codeman,7,4,63.64,12.0
103.0,-- 13.0,Shy,7,4,63.64,12.0
103.0,New,Den,7,7,50.0,12.0
110.0,-- 14.0,SLO | GrizzlyBair,6,5,54.55,11.0
110.0,++ 40.0,Chewy,9,17,34.62,11.0
110.0,-- 14.0,TheFormuoli,10,14,41.67,11.0
110.0,-- 14.0,Mounir,6,6,50.0,11.0
110.0,-- 14.0,Kaptinkillem,6,4,60.0,11.0
110.0,New,CB,6,5,54.55,11.0
110.0,New,Maruf,6,3,66.67,11.0
110.0,New,Denzill,6,6,50.0,11.0
110.0,-- 14.0,Divine Senator Kelly,6,4,60.0,11.0
119.0,-- 13.0,WOMB#619 | Wombat,7,20,25.93,10.0
119.0,-- 18.0,John,5,1,83.33,10.0
119.0,New,olé,5,1,83.33,10.0
119.0,New,Help,9,12,42.86,10.0
119.0,-- 18.0,OXY | TheCrimsonBlur,5,4,55.56,10.0
119.0,New,Phantom Airline,5,2,71.43,10.0
119.0,-- 18.0,TurboThot,8,11,42.11,10.0
119.0,++ 6.0,markrevival,7,20,25.93,10.0
119.0,New,FISA | JoJo,5,2,71.43,10.0
128.0,-- 22.0,Tourist,4,3,57.14,9.0
128.0,-- 22.0,Strazz,6,20,23.08,9.0
128.0,New,STP,8,9,47.06,9.0
128.0,-- 22.0,kippu,6,18,25.0,9.0
128.0,-- 22.0,Silkylaroux,8,15,34.78,9.0
128.0,-- 22.0,adamaggy,8,8,50.0,9.0
128.0,++ 22.0,KaiKwonDo,7,14,33.33,9.0
135.0,-- 23.0,Theftz,6,13,31.58,8.0
135.0,New,Elk G | Ivayne,3,2,60.0,8.0
135.0,-- 23.0,TC | BuyMyMixTape,7,10,41.18,8.0
135.0,-- 3.0,pointykitty,5,43,10.42,8.0
135.0,-- 23.0,Slump,7,12,36.84,8.0
135.0,-- 23.0,Uncle Pete,3,6,33.33,8.0
135.0,-- 23.0,moscow mich,7,10,41.18,8.0
135.0,New,SDJ | SudoJoe,7,10,41.18,8.0
135.0,-- 23.0,OtES,7,12,36.84,8.0
135.0,-- 23.0,420 | Yolk,3,3,50.0,8.0
135.0,New,YoungHanSolo,3,0,100.0,8.0
135.0,New,bird | unlucky,7,14,33.33,8.0
135.0,New,Talen,3,0,100.0,8.0
148.0,-- 28.0,dirtyDev,6,7,46.15,7.0
148.0,-- 16.0,TT | Dair,5,13,27.78,7.0
148.0,-- 28.0,Sporsinick,6,7,46.15,7.0
148.0,-- 28.0,Yamasaki,6,7,46.15,7.0
148.0,++ 2.0,Miranda,5,14,26.32,7.0
148.0,-- 28.0,Fraud,6,11,35.29,7.0
148.0,-- 16.0,Melos,5,13,27.78,7.0
148.0,-- 28.0,TNC | n3zModGod,2,0,100.0,7.0
148.0,New,BCM | veggies,6,11,35.29,7.0
157.0,-- 32.0,Rigo Bigo,5,11,31.25,6.0
157.0,-- 7.0,K.H.D | Reign,4,18,18.18,6.0
157.0,-- 32.0,Stone,5,5,50.0,6.0
157.0,-- 32.0,eh | sickø,5,6,45.45,6.0
157.0,-- 32.0,Troy,5,18,21.74,6.0
157.0,-- 32.0,UARK | VentusWK,5,15,25.0,6.0
157.0,-- 32.0,Watermelons,5,10,33.33,6.0
164.0,New,100 Days Of Solitude,4,4,50.0,5.0
164.0,-- 32.0,sucordie,4,10,28.57,5.0
164.0,New,CSB | ushi,4,9,30.77,5.0
164.0,New,Kettering,4,9,30.77,5.0
164.0,-- 32.0,hHerb,4,11,26.67,5.0
164.0,-- 32.0,DiscipleOfBorp,4,11,26.67,5.0
164.0,-- 32.0,Vitro,4,6,40.0,5.0
164.0,-- 32.0,jams,4,16,20.0,5.0
172.0,New,HorseGirl420,3,9,25.0,4.0
172.0,-- 32.0,Bobakanoosh,3,12,20.0,4.0
172.0,-- 32.0,Nico,3,8,27.27,4.0
172.0,-- 32.0,CVSmashMods | Ripn,3,3,50.0,4.0
172.0,-- 32.0,punished | gelp,3,5,37.5,4.0
172.0,-- 32.0,Lust,3,10,23.08,4.0
172.0,-- 22.0,snek,2,24,7.69,4.0
172.0,New,Futz,3,8,27.27,4.0
172.0,-- 32.0,GS | TreyTheTrashman,3,4,42.86,4.0
172.0,-- 32.0,saacdaddy,3,7,30.0,4.0
172.0,-- 32.0,YBBT | leroydankins,3,5,37.5,4.0
172.0,New,CID,3,17,15.0,4.0
172.0,-- 32.0,rickey_kc,3,3,50.0,4.0
185.0,-- 35.0,glum oinkin',2,4,33.33,3.0
185.0,-- 35.0,RB | V$,2,5,28.57,3.0
185.0,New,Special K,2,6,25.0,3.0
185.0,-- 35.0,Frozone,2,4,33.33,3.0
185.0,-- 35.0,ZUTH | Zuthane,2,2,50.0,3.0
185.0,-- 35.0,Doctor Dank,2,13,13.33,3.0
191.0,-- 31.0,Blue Jay,1,2,33.33,2.0
191.0,-- 31.0,early,1,5,16.67,2.0
191.0,-- 31.0,BABA | Babo,1,12,7.69,2.0
191.0,-- 31.0,Ringler,1,11,8.33,2.0
191.0,-- 31.0,DCG | Spots,1,8,11.11,2.0
191.0,-- 31.0,Schweppes,1,9,10.0,2.0
191.0,-- 31.0,ASAPferq,1,5,16.67,2.0
191.0,-- 31.0,Big Pivot,0,40,0.0,2.0
191.0,-- 31.0,bensw,1,5,16.67,2.0
191.0,-- 31.0,Fishpaste,1,8,11.11,2.0
191.0,-- 31.0,radvillainy,1,11,8.33,2.0
191.0,-- 31.0,KLAWHAU5,1,10,9.09,2.0
191.0,-- 31.0,3OutChange,1,11,8.33,2.0
191.0,-- 31.0,N8V,1,8,11.11,2.0
191.0,-- 31.0,Luppi,1,7,12.5,2.0
191.0,-- 31.0,LUNK#783 | dom,1,1,50.0,2.0
207.0,-- 31.0,Abhi,0,15,0.0,1.0
207.0,-- 31.0,flowjam,0,3,0.0,1.0
207.0,-- 31.0,Hellraid,0,24,0.0,1.0
207.0,-- 31.0,CarltonDanks,0,5,0.0,1.0
207.0,-- 31.0,Raffshot,0,6,0.0,1.0
207.0,-- 31.0,LoneCubone,0,3,0.0,1.0
207.0,New,$W@6 | rocketf20,0,10,0.0,1.0
207.0,-- 31.0,8167263631 | Notto,0,3,0.0,1.0
207.0,-- 31.0,Frost | JJK,0,4,0.0,1.0
207.0,-- 31.0,Afron,0,4,0.0,1.0
207.0,New,Daddy Icey,0,1,0.0,1.0
207.0,-- 31.0,Blu-J,0,2,0.0,1.0
207.0,-- 31.0,Badboi,0,1,0.0,1.0
207.0,New,LVD | Super,0,12,0.0,1.0
207.0,New,Snickerdoodle,0,15,0.0,1.0
207.0,New,Ahung,0,1,0.0,1.0
207.0,-- 31.0,lemon,0,3,0.0,1.0
207.0,-- 31.0,PP | Droze,0,2,0.0,1.0
207.0,-- 31.0,Tomz,0,1,0.0,1.0
207.0,-- 31.0,Just Jason,0,2,0.0,1.0
207.0,New,ACAB | Mugen,0,11,0.0,1.0
207.0,-- 31.0,Sleeepy,0,13,0.0,1.0
207.0,-- 31.0,Rose,0,3,0.0,1.0
207.0,New,Sax,0,4,0.0,1.0
