Rank,ChangeInRank,SmashTag,Wins,Losses,Win%,BankRoll Bills
52.0,-- 8.0,DarkGenex,11,10,52.38,16.0
52.0,-- 8.0,Thad <3,10,9,52.63,16.0
54.0,-- 6.0,Milo,10,10,50.0,15.0
54.0,-- 6.0,2Framez,9,7,56.25,15.0
56.0,-- 6.0,Dawson,9,8,52.94,14.0
56.0,++ 25.0,ericiscool.net,2,8,20.0,14.0
58.0,++ 11.0,JustJoshin,11,13,45.83,13.0
58.0,-- 7.0,Alex18+,11,19,36.67,13.0
60.0,-- 8.0,Shy,7,4,63.64,12.0
60.0,-- 8.0,W8ASec,7,7,50.0,12.0
62.0,New,Kaptinkillem,6,4,60.0,11.0
62.0,-- 8.0,TheFormuoli,10,14,41.67,11.0
62.0,-- 8.0,GST | Ryobeat,6,2,75.0,11.0
65.0,New,John,5,1,83.33,10.0
65.0,New,LanTurN,9,14,39.13,10.0
65.0,++ 16.0,TurboThot,8,11,42.11,10.0
65.0,-- 2.0,Pawn,7,36,16.28,10.0
69.0,-- 13.0,Tourist,4,3,57.14,9.0
69.0,-- 13.0,TG NBR | Panos,4,4,50.0,9.0
69.0,-- 13.0,NOOT,4,3,57.14,9.0
69.0,-- 6.0,Strazz,6,20,23.08,9.0
73.0,-- 14.0,Uncle Pete,3,6,33.33,8.0
73.0,-- 14.0,RedX,7,10,41.18,8.0
73.0,-- 14.0,OtES,7,12,36.84,8.0
73.0,-- 14.0,Slump,7,12,36.84,8.0
73.0,New,moscow mich,7,10,41.18,8.0
73.0,-- 4.0,Theftz,6,13,31.58,8.0
79.0,-- 10.0,kippu,5,9,35.71,7.0
80.0,-- 15.0,Rigo Bigo,5,11,31.25,6.0
80.0,New,eh | sickø,5,6,45.45,6.0
82.0,-- 16.0,DiscipleOfBorp,4,11,26.67,5.0
82.0,-- 16.0,jams,4,16,20.0,5.0
82.0,-- 16.0,Vitro,4,6,40.0,5.0
85.0,-- 16.0,CVSmashMods | Ripn,3,3,50.0,4.0
85.0,-- 16.0,Nico,3,8,27.27,4.0
85.0,New,WOMB#619 | Wombat,3,7,30.0,4.0
85.0,New,YBBT | leroydankins,3,5,37.5,4.0
85.0,New,Jakespeare,3,17,15.0,4.0
85.0,-- 16.0,GS | TreyTheTrashman,3,4,42.86,4.0
91.0,-- 16.0,Miranda,2,4,33.33,3.0
91.0,New,ZUTH | Zuthane,2,2,50.0,3.0
91.0,New,RB | V$,2,5,28.57,3.0
91.0,-- 16.0,Doctor Dank,2,13,13.33,3.0
91.0,-- 16.0,Chewy,2,8,20.0,3.0
91.0,-- 16.0,glum oinkin',2,4,33.33,3.0
91.0,-- 16.0,KaiKwonDo,2,6,25.0,3.0
91.0,-- 16.0,K.H.D | Reign,2,15,11.76,3.0
99.0,New,bensw,1,5,16.67,2.0
99.0,-- 18.0,Fishpaste,1,8,11.11,2.0
99.0,New,markrevival,1,7,12.5,2.0
99.0,-- 18.0,Luppi,1,7,12.5,2.0
99.0,-- 18.0,N8V,1,8,11.11,2.0
99.0,-- 18.0,3OutChange,1,11,8.33,2.0
99.0,-- 18.0,radvillainy,1,11,8.33,2.0
99.0,New,DCG | Spots,1,8,11.11,2.0
99.0,New,Blue Jay,1,2,33.33,2.0
99.0,-- 9.0,Big Pivot,0,40,0.0,2.0
99.0,New,LUNK#783 | dom,1,1,50.0,2.0
99.0,-- 18.0,Ringler,1,11,8.33,2.0
99.0,-- 18.0,pointykitty,1,19,5.0,2.0
112.0,New,LoneCubone,0,3,0.0,1.0
112.0,-- 22.0,Afron,0,4,0.0,1.0
112.0,-- 22.0,CarltonDanks,0,5,0.0,1.0
112.0,-- 22.0,Blu-J,0,2,0.0,1.0
112.0,New,Tomz,0,1,0.0,1.0
112.0,-- 22.0,Abhi,0,15,0.0,1.0
112.0,-- 22.0,Frost | JJK,0,4,0.0,1.0
