Rank,ChangeInRank,SmashTag,Wins,Losses,Win%,BankRoll Bills
71.0,New,LAG,13,11,54.17,18.0
73.0,-- 8.0,Pawn,13,45,22.41,17.0
73.0,New,CLEM#112 | Clem,12,9,57.14,17.0
73.0,New,Jorge,12,12,50.0,17.0
73.0,New,QoT | Cruelscotty,12,14,46.15,17.0
73.0,-- 22.0,Hunybear,12,9,57.14,17.0
78.0,New,Solo.,10,9,52.63,15.0
78.0,New,Chubbz,10,10,50.0,15.0
78.0,-- 24.0,2Framez,9,7,56.25,15.0
78.0,-- 24.0,Milo,10,10,50.0,15.0
78.0,New,BLM | Rats!,10,13,43.48,15.0
83.0,New,DHB | IggyNieves,9,7,56.25,14.0
83.0,New,ScrubUp,9,8,52.94,14.0
83.0,-- 27.0,Dawson,9,8,52.94,14.0
83.0,New,Douglas.J.Gov,13,16,44.83,14.0
83.0,-- 27.0,ericiscool.net,2,8,20.0,14.0
88.0,-- 30.0,Alex18+,11,19,36.67,13.0
88.0,-- 30.0,JustJoshin,11,13,45.83,13.0
90.0,New,BABA | shama,7,5,58.33,12.0
90.0,New,Zeph,7,5,58.33,12.0
90.0,-- 30.0,W8ASec,7,7,50.0,12.0
90.0,New,codeman,7,4,63.64,12.0
90.0,-- 30.0,Shy,7,4,63.64,12.0
90.0,New,Travy,11,17,39.29,12.0
96.0,New,Mounir,6,6,50.0,11.0
96.0,New,SLO | GrizzlyBair,6,5,54.55,11.0
96.0,New,Divine Senator Kelly,6,4,60.0,11.0
96.0,-- 34.0,Kaptinkillem,6,4,60.0,11.0
96.0,-- 34.0,TheFormuoli,10,14,41.67,11.0
101.0,New,Soltrain,5,4,55.56,10.0
101.0,-- 36.0,TurboThot,8,11,42.11,10.0
101.0,New,OXY | TheCrimsonBlur,5,4,55.56,10.0
101.0,-- 36.0,John,5,1,83.33,10.0
101.0,New,snacklepackle,9,16,36.0,10.0
106.0,-- 27.0,kippu,6,18,25.0,9.0
106.0,New,Silkylaroux,8,15,34.78,9.0
106.0,-- 37.0,Strazz,6,20,23.08,9.0
106.0,New,adamaggy,8,8,50.0,9.0
106.0,-- 37.0,Tourist,4,3,57.14,9.0
106.0,-- 21.0,WOMB#619 | Wombat,7,14,33.33,9.0
112.0,-- 39.0,Slump,7,12,36.84,8.0
112.0,New,420 | Yolk,3,3,50.0,8.0
112.0,New,TC | BuyMyMixTape,7,10,41.18,8.0
112.0,-- 39.0,OtES,7,12,36.84,8.0
112.0,-- 39.0,moscow mich,7,10,41.18,8.0
112.0,-- 39.0,RedX,7,10,41.18,8.0
112.0,-- 39.0,Uncle Pete,3,6,33.33,8.0
112.0,-- 39.0,Theftz,6,13,31.58,8.0
120.0,New,Sporsinick,6,7,46.15,7.0
120.0,New,dirtyDev,6,7,46.15,7.0
120.0,New,Yamasaki,6,7,46.15,7.0
120.0,New,Fraud,6,11,35.29,7.0
120.0,New,TNC | n3zModGod,2,0,100.0,7.0
125.0,-- 45.0,Rigo Bigo,5,11,31.25,6.0
125.0,New,Stone,5,5,50.0,6.0
125.0,New,UARK | VentusWK,5,15,25.0,6.0
125.0,-- 45.0,eh | sickø,5,6,45.45,6.0
125.0,New,Watermelons,5,10,33.33,6.0
125.0,New,Troy,5,18,21.74,6.0
125.0,-- 26.0,markrevival,4,15,21.05,6.0
132.0,New,hHerb,4,11,26.67,5.0
132.0,New,Melos,4,10,28.57,5.0
132.0,-- 50.0,Vitro,4,6,40.0,5.0
132.0,-- 50.0,jams,4,16,20.0,5.0
132.0,New,sucordie,4,10,28.57,5.0
132.0,-- 50.0,DiscipleOfBorp,4,11,26.67,5.0
132.0,-- 33.0,pointykitty,3,32,8.57,5.0
132.0,New,TT | Dair,4,6,40.0,5.0
140.0,New,saacdaddy,3,7,30.0,4.0
140.0,-- 55.0,CVSmashMods | Ripn,3,3,50.0,4.0
140.0,-- 55.0,Nico,3,8,27.27,4.0
140.0,New,Bobakanoosh,3,12,20.0,4.0
140.0,-- 55.0,YBBT | leroydankins,3,5,37.5,4.0
140.0,New,punished | gelp,3,5,37.5,4.0
140.0,New,rickey_kc,3,3,50.0,4.0
140.0,-- 55.0,GS | TreyTheTrashman,3,4,42.86,4.0
140.0,-- 55.0,Jakespeare,3,17,15.0,4.0
140.0,New,Lust,3,10,23.08,4.0
150.0,New,snek,2,4,33.33,3.0
150.0,-- 59.0,glum oinkin',2,4,33.33,3.0
150.0,-- 59.0,RB | V$,2,5,28.57,3.0
150.0,-- 59.0,Miranda,2,4,33.33,3.0
150.0,-- 59.0,Chewy,2,8,20.0,3.0
150.0,-- 59.0,K.H.D | Reign,2,15,11.76,3.0
150.0,-- 59.0,ZUTH | Zuthane,2,2,50.0,3.0
150.0,-- 59.0,Doctor Dank,2,13,13.33,3.0
150.0,New,Frozone,2,4,33.33,3.0
150.0,-- 59.0,KaiKwonDo,2,6,25.0,3.0
160.0,-- 61.0,LUNK#783 | dom,1,1,50.0,2.0
160.0,-- 61.0,bensw,1,5,16.67,2.0
160.0,New,Schweppes,1,9,10.0,2.0
160.0,New,early,1,5,16.67,2.0
160.0,New,ASAPferq,1,5,16.67,2.0
160.0,New,KLAWHAU5,1,10,9.09,2.0
160.0,-- 61.0,Blue Jay,1,2,33.33,2.0
160.0,-- 61.0,Fishpaste,1,8,11.11,2.0
160.0,-- 61.0,Ringler,1,11,8.33,2.0
160.0,-- 61.0,Big Pivot,0,40,0.0,2.0
160.0,New,BABA | Babo,1,12,7.69,2.0
160.0,-- 61.0,radvillainy,1,11,8.33,2.0
160.0,-- 61.0,Luppi,1,7,12.5,2.0
160.0,-- 61.0,DCG | Spots,1,8,11.11,2.0
160.0,-- 61.0,N8V,1,8,11.11,2.0
160.0,-- 61.0,3OutChange,1,11,8.33,2.0
176.0,-- 64.0,Abhi,0,15,0.0,1.0
176.0,-- 64.0,CarltonDanks,0,5,0.0,1.0
176.0,New,flowjam,0,3,0.0,1.0
176.0,New,Just Jason,0,2,0.0,1.0
176.0,-- 64.0,Blu-J,0,2,0.0,1.0
176.0,New,Rose,0,3,0.0,1.0
176.0,New,Sleeepy,0,13,0.0,1.0
176.0,-- 64.0,Tomz,0,1,0.0,1.0
176.0,New,PP | Droze,0,2,0.0,1.0
176.0,New,lemon,0,3,0.0,1.0
176.0,-- 64.0,LoneCubone,0,3,0.0,1.0
176.0,New,Hellraid,0,24,0.0,1.0
176.0,New,Badboi,0,1,0.0,1.0
176.0,-- 64.0,Frost | JJK,0,4,0.0,1.0
176.0,-- 64.0,Afron,0,4,0.0,1.0
176.0,New,8167263631 | Notto,0,3,0.0,1.0
176.0,New,Raffshot,0,6,0.0,1.0
