SmashTag,IMP | Ben Number,Path
Maelstrom,6,IMP | Ben < KoDoRiN < Khoron | Oreo < RedX < actually hmhh | LionTimeMachine < Chiefn_
ight,6,IMP | Ben < KoDoRiN < Khoron | Oreo < RedX < actually hmhh | LionTimeMachine < Chiefn_
Keykey,6,IMP | Ben < KoDoRiN < Khoron | Oreo < RedX < actually hmhh | LionTimeMachine < Kandayo
Weeg,6,IMP | Ben < KoDoRiN < TBD < Epoodle < Joey Donuts < Joe(y) Bats
PRIN$E,6,IMP | Ben < KoDoRiN < Khoron | Oreo < RedX < actually hmhh | LionTimeMachine < Chiefn_
Ratt,6,IMP | Ben < KoDoRiN < Redcoat < RustyTrombone < LFG | Fist Mexico < U.S Marine
Otto_Zone,6,IMP | Ben < KoDoRiN < Khoron | Oreo < Yamasaki < Mootook < Ribboned Ace
WU | nerodero,7,IMP | Ben < KoDoRiN < Redcoat < RustyTrombone < LFG | Fist Mexico < U.S Marine < Layer
charmell0,7,IMP | Ben < KoDoRiN < Khoron | Oreo < Yamasaki < Mootook < Ribboned Ace < BeanBurrito-San
shoelegend88,7,IMP | Ben < KoDoRiN < TBD < Epoodle < Joey Donuts < PurpleZ < #215 | Ogre
Dusky,7,IMP | Ben < KoDoRiN < Redcoat < RustyTrombone < LFG | Fist Mexico < U.S Marine < Layer
Banger,7,IMP | Ben < KoDoRiN < Khoron | Oreo < RedX < actually hmhh | LionTimeMachine < Chiefn_ < SKY | Matwood
cockbread,7,IMP | Ben < KoDoRiN < TBD < Epoodle < Ellis < Arctic < Oferton
Lamb's Ear,7,IMP | Ben < KoDoRiN < Khoron | Oreo < RedX < actually hmhh | LionTimeMachine < Chiefn_ < diddylonglegs
vampa,7,IMP | Ben < KoDoRiN < Khoron | Oreo < RedX < actually hmhh | LionTimeMachine < Chiefn_ < wally
YBBT | leroydankins,7,IMP | Ben < KoDoRiN < Khoron | Oreo < RedX < Cow < BoffTarget < Holy | key
DadsAkimbo,7,IMP | Ben < KoDoRiN < TBD < Epoodle < Joey Donuts < Joe(y) Bats < CowCowCowCowCow
KillThePast | bebul,7,IMP | Ben < KoDoRiN < Redcoat < RustyTrombone < LFG | Fist Mexico < Fern < Rive
TourGuide,7,IMP | Ben < KoDoRiN < Khoron | Oreo < Yamasaki < Mootook < Ribboned Ace < BeanBurrito-San
Creature,7,IMP | Ben < KoDoRiN < TBD < Epoodle < Ellis < Arctic < Zab
Chuchaka2112,7,IMP | Ben < KoDoRiN < Redcoat < RustyTrombone < LFG | Fist Mexico < PML | Die222 < Notorious
t0tal90,7,IMP | Ben < KoDoRiN < Redcoat < RustyTrombone < LFG | Fist Mexico < PML | Die222 < Beck
2rk | Turok,7,IMP | Ben < KoDoRiN < Khoron | Oreo < Yamasaki < Mootook < Ribboned Ace < BeanBurrito-San
JLo,7,IMP | Ben < KoDoRiN < Khoron | Oreo < RedX < actually hmhh | LionTimeMachine < Chiefn_ < ight
Deeb,7,IMP | Ben < KoDoRiN < Khoron | Oreo < RedX < actually hmhh | LionTimeMachine < Chiefn_ < Axis
thicceon,7,IMP | Ben < KoDoRiN < TBD < Epoodle < Joey Donuts < Joe(y) Bats < Hell'sLabyrinth
tpyo,7,IMP | Ben < KoDoRiN < Khoron | Oreo < RedX < actually hmhh | LionTimeMachine < Chiefn_ < Analog
