SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement,PlacePoints,Points,Rank
22458,Kandayo,WC,2,0,0,0,1,0,0,0,0,-1,0.0,7.0,67.0
22595,Aura,EC,4,6,0,1,0,0,0,0,0,-1,0.0,5.0,79.0
23920,GHQ | Zamu,EC,18,3,0,0,0,0,0,1,0,4,125.0,163.0,4.0
27638,Panda,EC,9,4,0,0,0,1,0,0,0,-1,0.0,19.0,30.0
27754,Chummi,WC,2,1,0,0,1,0,0,0,0,-1,0.0,7.0,67.0
27862,Musashi,WC,11,7,0,0,0,1,0,0,0,13,25.0,46.0,14.0
29103,Hexjo,EC,4,3,0,0,1,0,0,0,0,-1,0.0,9.0,54.0
30804,Frap,WC,3,3,0,0,1,0,0,0,0,-1,0.0,8.0,63.0
30913,SHwang,WC,6,8,0,0,1,0,0,0,0,-1,0.0,11.0,41.0
31487,Winx Club | Siddward,EC,4,4,0,0,1,0,0,0,0,-1,0.0,9.0,54.0
32201,PRIN$E,EC,8,5,0,0,0,1,0,0,0,13,25.0,43.0,15.0
32691,Blitzkrieg,EC,2,6,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
34399,BuenasRetas | Cobs,WC,0,4,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
34893,Zoma,EC,6,5,0,0,1,0,0,0,0,-1,0.0,11.0,41.0
37116,GUG | Kurv,WC,13,5,0,0,0,0,1,0,0,7,75.0,103.0,7.0
37975,Zellpree,WC,4,4,0,0,1,0,0,0,0,-1,0.0,9.0,54.0
38643,RedX,WC,2,7,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
46752,doby,WC,5,5,0,1,0,0,0,0,0,-1,0.0,6.0,75.0
47650,shoelegend88,EC,6,4,0,0,1,0,0,0,0,-1,0.0,11.0,41.0
50053,PML | Die222,WC,6,14,0,1,0,0,0,0,0,-1,0.0,7.0,67.0
60696,FM | Cilan,WC,2,6,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
61570,CG | Peppi | Pappi,WC,8,2,0,0,0,1,0,0,0,17,10.0,28.0,19.0
62457,QTT | Yeyo,WC,3,4,0,1,0,0,0,0,0,-1,0.0,4.0,85.0
