SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4
379542,Lee,1,0,-2,-1,-2,-2
423669,Wōlī,1,0,-2,-2,-1,-2
428826,ArcaneFox,2,0,-2,-2,-1,-1
450784,Fredrick,1,0,-2,-2,-2,-1
466221,Melo,3,0,-1,-1,-1,-2
472971,yBaS | MaxJacks,1,0,-1,-2,-2,-2
491552,DannyPhantom,1,1,-2,13,-2,-2
492755,BoffTarget,1,0,-2,-2,-2,-1
495213,Banger,1,0,-2,-2,-2,-1
512704,Axis,1,0,-1,-2,-2,-2
519779,NJ | Tommy,1,0,-2,-2,-2,-1
519985,Marvelboy,1,0,-1,-2,-2,-2
524651,Schwifty | Sirjaxism,2,0,-2,-2,-1,-1
525553,jerma985,1,0,-2,-2,-1,-2
528737,3OutChange,2,0,-2,-2,-1,-1
530964,Heatedchaos,1,0,-2,-1,-2,-2
533918,Maelstrom,2,0,-2,-1,-1,-2
539984,Ahmad,1,1,-2,-2,17,-2
542693,Bbatts,3,1,-1,9,-1,-2
552087,Kerblamu,1,0,-2,-1,-2,-2
581039,I'm Michael BTW,4,2,13,13,-1,-1
581230,SmashMouthEgg,1,0,-2,-2,-1,-2
582190,rice,3,0,-2,-1,-1,-1
585248,magnumgunn3r,1,0,-2,-2,-1,-2
592660,aL0w,1,0,-2,-2,-2,-1
598192,Pena,1,0,-2,-2,-2,-1
608505,2ndLaw,1,0,-2,-2,-2,-1
637179,Sodabro,2,1,-2,-2,-1,13
638273,SKY | Matwood,2,0,-2,-2,-1,-1
654514,probably high,2,0,-2,-1,-2,-1
657175,Bobakanoosh,1,0,-1,-2,-2,-2
657464,CowCowCowCowCow,3,0,-2,-1,-1,-1
657711,PurpleZ,2,0,-1,-2,-2,-1
682345,Rive,1,0,-2,-2,-2,-1
684008,deep_cuts,1,0,-2,-2,-2,-1
691112,JMONEY,1,0,-2,-2,-2,-1
694497,IMP | Ben,4,4,3,2,7,1
709843,Chem,1,0,-1,-2,-2,-2
725014,charmell0,3,0,-1,-1,-2,-1
725016,Dolfo,2,0,-1,-2,-1,-2
