SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7,BWeek8
45356,OtES,NAN,NAN,NAN,8.0,13.0,31.0,31.0,31.0
45726,Faust,NAN,NAN,20.0,35.0,35.0,35.0,35.0,35.0
46231,geg :),NAN,4.0,4.0,4.0,4.0,4.0,4.0,4.0
46349,Aura,107.0,107.0,107.0,107.0,107.0,107.0,107.0,143.0
46962,LeZagna,NAN,NAN,NAN,NAN,NAN,NAN,100.0,100.0
47304,Boyz II Mensch,NAN,NAN,NAN,4.0,4.0,4.0,4.0,4.0
47501,PP | rocky,NAN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
47650,shoelegend88,8.0,24.0,24.0,24.0,24.0,29.0,34.0,34.0
48041,Slade,NAN,NAN,NAN,11.0,11.0,11.0,11.0,11.0
48322,AHHHHH | Alice,NAN,NAN,NAN,NAN,NAN,NAN,6.0,6.0
48857,hestoned,NAN,NAN,NAN,NAN,NAN,4.0,4.0,4.0
49711,sad | UwUMysticalGirl,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
50933,MIT | Fro116,NAN,75.0,75.0,75.0,112.0,112.0,140.0,140.0
51076,Power Kevin,NAN,NAN,NAN,NAN,NAN,NAN,6.0,6.0
51112,Pilgrim,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
53655,Frankhoe,15.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
54824,Traplord,34.0,34.0,34.0,34.0,34.0,34.0,34.0,92.0
55166,trades,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58670,Savestate,NAN,21.0,21.0,21.0,21.0,21.0,21.0,21.0
61570,YC | Peppi | | Pappi,NAN,NAN,NAN,NAN,8.0,8.0,189.0,189.0
62626,SuperCuak,13.0,13.0,13.0,13.0,36.0,36.0,36.0,36.0
62721,Dirty Lasagna,NAN,NAN,NAN,NAN,NAN,11.0,22.0,22.0
63313,Sneakywill,NAN,NAN,NAN,NAN,NAN,17.0,17.0,17.0
64467,Pingy,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
64644,STP,NAN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
64692,SANS | Blues Clues,29.0,48.0,48.0,68.0,93.0,112.0,182.0,202.0
64909,Calvin,NAN,9.0,9.0,9.0,9.0,9.0,9.0,9.0
65566,Miranda,11.0,18.0,18.0,18.0,29.0,29.0,29.0,29.0
65777,bobby big ballz,215.0,404.0,568.0,655.0,818.0,981.0,1119.0,1226.0
68868,Jr,NAN,NAN,NAN,17.0,17.0,17.0,17.0,17.0
69921,Furniture,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
70796,BHC | Evan,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
71442,Wiza,3.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0
127639,Neologism,NAN,21.0,109.0,109.0,109.0,138.0,138.0,138.0
127997,CW | rabit!,NAN,NAN,NAN,NAN,NAN,NAN,8.0,8.0
128266,EASTJ | Mike,NAN,NAN,NAN,NAN,NAN,10.0,10.0,10.0
129344,totally butts,NAN,NAN,NAN,NAN,NAN,NAN,10.0,10.0
129363,Flow | ESPONJA,NAN,14.0,14.0,14.0,19.0,29.0,29.0,29.0
129500,O N I,NAN,NAN,NAN,12.0,12.0,12.0,12.0,12.0
130672,Soltrain,NAN,NAN,NAN,2.0,2.0,2.0,2.0,2.0
130746,TZ | Morrito,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
132938,RU | Midnight Blue,11.0,11.0,11.0,11.0,22.0,22.0,31.0,31.0
134929,IDK,NAN,NAN,NAN,NAN,NAN,3.0,3.0,3.0
