SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3
237282,Electroman,1,0,-2,-1,-2
254673,Layer,1,0,-2,-1,-2
255496,ericiscool.net,2,0,-1,-1,-2
257406,Lotfy,2,2,5,9,-2
268767,markrevival,2,0,-1,-1,-2
269238,91,2,0,-1,-1,-2
271333,MMG | Seven,1,0,-1,-2,-2
274941,unlimited boy,1,0,-2,-1,-2
278295,ItsDad,1,0,-1,-2,-2
279107,Khryke,3,3,13,17,5
279722,EP | Justus,2,2,17,7,-2
288395,jams,1,0,-1,-2,-2
310321,TC | BuyMyMixTape,1,0,-1,-2,-2
323132,JC,1,0,-2,-1,-2
324561,Soonsay,1,1,2,-2,-2
328838,PeS | Puppy,1,0,-2,-1,-2
360229,BEBO,1,0,-2,-1,-2
378512,KG/SBC | Oreo,2,0,-1,-1,-2
395730,PQ2 | CPU0,1,1,-2,-2,13
436506,FestivalDeLaCombo,1,0,-2,-1,-2
448153,Neenor,1,0,-1,-2,-2
466221,Melo,1,0,-2,-1,-2
472971,MaxJacks,2,0,-1,-1,-2
483428,DCG | Spots,1,0,-1,-2,-2
484238,Alextrer,1,1,-2,-2,17
493224,Fitz,2,0,-1,-1,-2
503278,Pogey,1,0,-1,-2,-2
512704,Axis,1,0,-1,-2,-2
520837,Neck,2,0,-1,-1,-2
533918,Maelstrom,1,0,-1,-2,-2
542693,Bbatts,1,1,9,-2,-2
577038,Zakqary,1,0,-2,-1,-2
582190,rice,1,0,-2,-1,-2
618857,Lamdin,1,0,-1,-2,-2
627118,Pipe,2,0,-1,-1,-2
657464,CowCowCowCowCow,2,1,-1,13,-2
657711,PurpleZ,1,0,-1,-2,-2
684008,deep_cuts,1,0,-2,-1,-2
692999,maso soup,1,0,-1,-2,-2
725508,620 | Megacaat,2,1,-2,-1,17
732665,Lama,1,1,-2,-2,17
800147,Dark Oreo Master,1,0,-2,-1,-2
804411,Neee,1,0,-1,-2,-2
807868,Funk,1,0,-1,-2,-2
819230,Willy P,2,0,-1,-1,-2
852916,Krizski,2,2,7,9,-2
856699,Logan,1,0,-2,-1,-2
862074,snacklepackle,2,0,-1,-1,-2
880372,Good1ife,1,0,-1,-2,-2
898035,mathandsurf,1,0,-1,-2,-2
1034300,Oz,1,0,-1,-2,-2
1053605,JFIRE,1,0,-2,-1,-2
1065524,Flippy,1,0,-2,-1,-2
1076996,Newquake,1,1,-2,-2,25
1228401,Asus(4),1,0,-2,-1,-2
1232194,Kawaii Kid | King Salmon,2,0,-1,-1,-2
1308234,JackO,1,0,-1,-2,-2
1466521,Floods,2,1,-2,-1,25
1487504,Arn255,1,0,-1,-2,-2
1525551,Lechero,1,0,-1,-2,-2
1638022,pathojin,2,0,-1,-1,-2
1640788,Special K,2,0,-1,-1,-2
1653242,Jquinnsweg,1,0,-2,-1,-2
1669002,JehL,1,0,-1,-2,-2
1737518,Kombeze Ataie,1,0,-1,-2,-2
1753671,Moonking34,1,0,-2,-1,-2
1866109,BubbleFuel,1,0,-1,-2,-2
1906382,KatBot,1,0,-2,-1,-2
1918686,roadkill,2,0,-1,-1,-2
1927744,pr0j3cts,1,0,-1,-2,-2
1940641,100 Days Of Solitude,1,0,-2,-1,-2
1944467,SUPERUNKNOWN,1,0,-2,-1,-2
1957958,50 Rats in a Trenchcoat,1,0,-1,-2,-2
1966716,LewdCelebs4Free,1,0,-1,-2,-2
1974127,Team Roz | aujory,1,0,-2,-1,-2
2026451,ASAPferq,1,0,-2,-1,-2
2029884,Nudepenguin,1,0,-2,-1,-2
2038523,thesiscat,1,0,-1,-2,-2
2103929,sidewinder572,1,0,-1,-2,-2
2114773,Raffshot,1,0,-2,-1,-2
2120266,hellojoe34,1,0,-2,-1,-2
2122811,$W@6 | rocketf20,1,0,-2,-1,-2
2133564,Brandt,1,0,-1,-2,-2
2136488,Sacred,1,0,-1,-2,-2
2140092,Jet,2,1,-2,-1,9
2143817,A HUMAN | Agile,1,0,-2,-1,-2
2145653,doubledown8,1,0,-1,-2,-2
2147280,slowtai,1,0,-2,-1,-2
2149456,Quadragesimus,2,0,-1,-1,-2
2154680,Godslayer903,2,0,-1,-1,-2
2156746,Wobs,1,0,-1,-2,-2
2167802,Bebop,1,0,-2,-1,-2
2172930,Sav,1,0,-2,-1,-2
2177428,KYROS | Chuchaka2112,1,0,-1,-2,-2
2178856,Abermega,1,0,-1,-2,-2
2179108,Mud,2,0,-1,-1,-2
2182633,sisig,1,0,-2,-1,-2
