SmasherID,SmashTag,RWeek1,RWeek2,ChangeInRank
32190,Crow,NAN,77.0,NAN
34266,WOMB#619 | Wombat,88.0,131.0,-43.0
34399,BuenasRetas | Cobs,75.0,59.0,16.0
36532,Googlyeyed,16.0,27.0,-11.0
36782,Oaty,26.0,42.0,-16.0
37062,Reaver_King,NAN,116.0,NAN
37116,GUG | Kürv,NAN,6.0,NAN
38979,Tristan's Rule,29.0,50.0,-21.0
39235,Dream,35.0,59.0,-24.0
40476,Medz,NAN,9.0,NAN
41492,Divine Senator Kelly,105.0,166.0,-61.0
44671,Quaff,4.0,2.0,2.0
45292,TZ | Iván,42.0,68.0,-26.0
46231,geg :),NAN,131.0,NAN
46349,Aura,6.0,14.0,-8.0
47501,PP | rocky,NAN,116.0,NAN
47650,shoelegend88,71.0,39.0,32.0
49711,sad | UwUMysticalGirl,21.0,36.0,-15.0
50933,Fro116,NAN,18.0,NAN
51112,Pilgrim,61.0,93.0,-32.0
53655,Frankhoe,37.0,29.0,8.0
54824,Red Dead | Traplord,18.0,35.0,-17.0
55166,trades,NAN,186.0,NAN
58670,Savestate,NAN,46.0,NAN
62626,SuperCuak,42.0,68.0,-26.0
64467,Pingy,105.0,166.0,-61.0
64644,STP,NAN,112.0,NAN
64692,SANS | Blues Clues,19.0,24.0,-5.0
64909,Calvin,NAN,99.0,NAN
65566,Miranda,56.0,56.0,0.0
65777,bobby big ballz,1.0,1.0,0.0
69921,Furniture,42.0,68.0,-26.0
70796,BHC | Evan,12.0,21.0,-9.0
71442,Wiza,96.0,152.0,-56.0
127639,Neologism,NAN,46.0,NAN
129363,Flow | ESPONJA,NAN,66.0,NAN
130746,TZ | Morrito,24.0,40.0,-16.0
132938,RU | Midnight Blue,56.0,84.0,-28.0
135795,cockbread,NAN,77.0,NAN
136379,HoG | Warmmer,7.0,15.0,-8.0
138710,Golden,NAN,58.0,NAN
144133,YBBT | leroydankins,82.0,116.0,-34.0
144798,akir,65.0,99.0,-34.0
147423,FlLFFl,NAN,131.0,NAN
148021,Rodney,NAN,116.0,NAN
149952,Jakespeare,NAN,68.0,NAN
150851,Ath | Bumble,88.0,131.0,-43.0
153138,ZouL,42.0,68.0,-26.0
153334,Silkylaroux,65.0,68.0,-3.0
153599,NS | Frog,NAN,131.0,NAN
157615,ight,37.0,40.0,-3.0
158524,Oferton,71.0,108.0,-37.0
172608,Churro,105.0,166.0,-61.0
173178,LAG,24.0,17.0,7.0
183677,Yamasaki,61.0,50.0,11.0
185618,Captain G,49.0,77.0,-28.0
193839,Loki,42.0,68.0,-26.0
215584,LAGr | Travioli,56.0,84.0,-28.0
221136,Zeeker,11.0,8.0,3.0
221423,Typhoon,NAN,28.0,NAN
228400,Piti,82.0,116.0,-34.0
230537,hHerb,88.0,131.0,-43.0
231685,DMT,NAN,116.0,NAN
232213,MikeDrop,40.0,66.0,-26.0
233059,Ribboned Ace,49.0,54.0,-5.0
233850,E-tie,NAN,64.0,NAN
237282,Electroman,NAN,152.0,NAN
254673,Layer,NAN,116.0,NAN
255496,ericiscool.net,105.0,131.0,-26.0
257406,Lotfy,5.0,5.0,0.0
268767,markrevival,105.0,152.0,-47.0
269238,91,105.0,99.0,6.0
271333,MMG | Seven,32.0,56.0,-24.0
274941,unlimited boy,NAN,99.0,NAN
278295,ItsDad,96.0,152.0,-56.0
279107,Khryke,13.0,16.0,-3.0
279722,EP | Justus,17.0,11.0,6.0
288395,jams,35.0,59.0,-24.0
310321,TC | BuyMyMixTape,105.0,166.0,-61.0
323132,JC,NAN,186.0,NAN
324561,Soonsay,2.0,3.0,-1.0
328838,PeS | Puppy,NAN,186.0,NAN
360229,BEBO,NAN,116.0,NAN
378512,KG/SBC | Oreo,22.0,31.0,-9.0
436506,FestivalDeLaCombo,NAN,131.0,NAN
448153,Neenor,78.0,112.0,-34.0
466221,Melo,NAN,166.0,NAN
472971,MaxJacks,105.0,116.0,-11.0
483428,DCG | Spots,96.0,152.0,-56.0
493224,Fitz,88.0,59.0,29.0
503278,Pogey,82.0,116.0,-34.0
512704,Axis,96.0,152.0,-56.0
520837,Neck,40.0,38.0,2.0
533918,Maelstrom,75.0,110.0,-35.0
542693,Bbatts,9.0,19.0,-10.0
577038,Zakqary,NAN,166.0,NAN
582190,rice,NAN,166.0,NAN
618857,Lamdin,26.0,42.0,-16.0
627118,Pipe,42.0,54.0,-12.0
657464,CowCowCowCowCow,78.0,22.0,56.0
657711,PurpleZ,56.0,84.0,-28.0
684008,deep_cuts,NAN,166.0,NAN
692999,maso soup,96.0,152.0,-56.0
725508,620 | Megacaat,NAN,152.0,NAN
800147,Dark Oreo Master,NAN,186.0,NAN
804411,Neee,105.0,166.0,-61.0
807868,Funk,88.0,131.0,-43.0
819230,Willy P,30.0,30.0,0.0
852916,Krizski,8.0,10.0,-2.0
856699,Logan,NAN,131.0,NAN
862074,snacklepackle,82.0,93.0,-11.0
880372,Good1ife,37.0,64.0,-27.0
898035,mathandsurf,124.0,186.0,-62.0
1034300,Oz,88.0,131.0,-43.0
1053605,JFIRE,NAN,99.0,NAN
1065524,Flippy,NAN,186.0,NAN
1228401,Asus(4),NAN,84.0,NAN
1232194,Kawaii Kid | King Salmon,124.0,131.0,-7.0
1308234,JackO,124.0,186.0,-62.0
1466521,Floods,NAN,186.0,NAN
1487504,Arn255,65.0,99.0,-34.0
1525551,Lechero,124.0,186.0,-62.0
1638022,pathojin,96.0,131.0,-35.0
1640788,Special K,105.0,131.0,-26.0
1653242,Jquinnsweg,NAN,166.0,NAN
1669002,JehL,124.0,186.0,-62.0
1737518,Kombeze Ataie,75.0,110.0,-35.0
1753671,Moonking34,NAN,131.0,NAN
1866109,BubbleFuel,88.0,131.0,-43.0
1906382,KatBot,NAN,166.0,NAN
1918686,roadkill,124.0,166.0,-42.0
1927744,pr0j3cts,124.0,186.0,-62.0
1940641,100 Days Of Solitude,NAN,166.0,NAN
1944467,SUPERUNKNOWN,NAN,152.0,NAN
1957958,50 Rats in a Trenchcoat,124.0,186.0,-62.0
1966716,LewdCelebs4Free,82.0,116.0,-34.0
1974127,Team Roz | aujory,NAN,186.0,NAN
2026451,ASAPferq,NAN,186.0,NAN
2029884,Nudepenguin,NAN,166.0,NAN
2038523,thesiscat,88.0,131.0,-43.0
2103929,sidewinder572,124.0,186.0,-62.0
2114773,Raffshot,NAN,152.0,NAN
2120266,hellojoe34,NAN,186.0,NAN
2122811,$W@6 | rocketf20,NAN,166.0,NAN
2133564,Brandt,105.0,166.0,-61.0
2136488,Sacred,56.0,84.0,-28.0
2140092,Jet,NAN,77.0,NAN
2143817,A HUMAN | Agile,NAN,186.0,NAN
2145653,doubledown8,49.0,77.0,-28.0
2147280,slowtai,NAN,68.0,NAN
2149456,Quadragesimus,105.0,116.0,-11.0
2154680,Godslayer903,71.0,84.0,-13.0
2156746,Wobs,124.0,186.0,-62.0
2167802,Bebop,NAN,166.0,NAN
2172930,Sav,NAN,186.0,NAN
2177428,KYROS | Chuchaka2112,78.0,112.0,-34.0
2178856,Abermega,124.0,186.0,-62.0
2179108,Mud,42.0,42.0,0.0
2182633,sisig,NAN,152.0,NAN
