SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8,PWeek9
436506,FestivalDeLaCombo,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
448153,Neenor,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
449526,King,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
460428,Moshi,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
466221,Melo,2,0,-2,-1,-2,-2,-1,-2,-2,-2,-2
472971,yBaS | MaxJacks,6,0,-1,-1,-2,-1,-1,-2,-1,-2,-1
483428,DCG | Spots,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
484238,Alextrer,1,1,-2,-2,17,-2,-2,-2,-2,-2,-2
491552,DannyPhantom,2,1,-2,-2,-2,17,-1,-2,-2,-2,-2
493224,Fitz,2,0,-1,-1,-2,-2,-2,-2,-2,-2,-2
503278,Pogey,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
508967,Goosekhan,1,1,-2,-2,-2,-2,-2,-2,-2,4,-2
512704,Axis,3,0,-1,-2,-2,-2,-1,-2,-1,-2,-2
517095,TG CS | EBND,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
519399,Leviath,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
519644,Stoon,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
519779,NJ | Tommy,4,1,-2,-2,-2,-2,-1,9,-1,-2,-1
