SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2
1232194,Kawaii Kid | King Salmon,2,0,-1,-1
1308234,JackO,1,0,-1,-2
1466521,Floods,1,0,-2,-1
1487504,Arn255,1,0,-1,-2
1525551,Lechero,1,0,-1,-2
1638022,pathojin,2,0,-1,-1
1640788,Special K,2,0,-1,-1
1653242,Jquinnsweg,1,0,-2,-1
1669002,JehL,1,0,-1,-2
1737518,Kombeze Ataie,1,0,-1,-2
1753671,Moonking34,1,0,-2,-1
1866109,BubbleFuel,1,0,-1,-2
1906382,KatBot,1,0,-2,-1
1918686,roadkill,2,0,-1,-1
1927744,pr0j3cts,1,0,-1,-2
1940641,100 Days Of Solitude,1,0,-2,-1
1944467,SUPERUNKNOWN,1,0,-2,-1
1957958,50 Rats in a Trenchcoat,1,0,-1,-2
1966716,LewdCelebs4Free,1,0,-1,-2
1974127,Team Roz | aujory,1,0,-2,-1
2026451,ASAPferq,1,0,-2,-1
2029884,Nudepenguin,1,0,-2,-1
2038523,thesiscat,1,0,-1,-2
2103929,sidewinder572,1,0,-1,-2
2114773,Raffshot,1,0,-2,-1
2120266,hellojoe34,1,0,-2,-1
2122811,$W@6 | rocketf20,1,0,-2,-1
2133564,Brandt,1,0,-1,-2
2136488,Sacred,1,0,-1,-2
2140092,Jet,1,0,-2,-1
2143817,A HUMAN | Agile,1,0,-2,-1
2145653,doubledown8,1,0,-1,-2
2147280,slowtai,1,0,-2,-1
2149456,Quadragesimus,2,0,-1,-1
2154680,Godslayer903,2,0,-1,-1
2156746,Wobs,1,0,-1,-2
2167802,Bebop,1,0,-2,-1
2172930,Sav,1,0,-2,-1
2177428,KYROS | Chuchaka2112,1,0,-1,-2
2178856,Abermega,1,0,-1,-2
2179108,Mud,2,0,-1,-1
2182633,sisig,1,0,-2,-1
