SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,ChangeInRank
149952,Jakespeare,NAN,68.0,82.0,-14.0
150851,Ath | Bumble,88.0,131.0,144.0,-13.0
153138,ZouL,42.0,68.0,82.0,-14.0
153334,Silkylaroux,65.0,68.0,82.0,-14.0
153599,NS | Frog,NAN,131.0,144.0,-13.0
157615,ight,37.0,40.0,51.0,-11.0
158524,Oferton,71.0,108.0,122.0,-14.0
172608,Churro,105.0,166.0,178.0,-12.0
173178,LAG,24.0,17.0,21.0,-4.0
183677,Yamasaki,61.0,50.0,61.0,-11.0
185618,Captain G,49.0,77.0,91.0,-14.0
193839,Loki,42.0,68.0,82.0,-14.0
215584,LAGr | Travioli,56.0,84.0,33.0,51.0
221136,Zeeker,11.0,8.0,5.0,3.0
221423,Typhoon,NAN,28.0,37.0,-9.0
228400,Piti,82.0,116.0,130.0,-14.0
230537,hHerb,88.0,131.0,144.0,-13.0
231685,DMT,NAN,116.0,130.0,-14.0
232213,MikeDrop,40.0,66.0,80.0,-14.0
233059,Ribboned Ace,49.0,54.0,67.0,-13.0
233850,E-tie,NAN,64.0,77.0,-13.0
237282,Electroman,NAN,152.0,165.0,-13.0
254673,Layer,NAN,116.0,130.0,-14.0
255496,ericiscool.net,105.0,131.0,144.0,-13.0
257406,Lotfy,5.0,5.0,10.0,-5.0
268767,markrevival,105.0,152.0,165.0,-13.0
269238,91,105.0,99.0,113.0,-14.0
271333,MMG | Seven,32.0,56.0,69.0,-13.0
274941,unlimited boy,NAN,99.0,113.0,-14.0
278295,ItsDad,96.0,152.0,165.0,-13.0
279107,Khryke,13.0,16.0,7.0,9.0
279722,EP | Justus,17.0,11.0,14.0,-3.0
288395,jams,35.0,59.0,72.0,-13.0
310321,TC | BuyMyMixTape,105.0,166.0,178.0,-12.0
323132,JC,NAN,186.0,198.0,-12.0
324561,Soonsay,2.0,3.0,8.0,-5.0
328838,PeS | Puppy,NAN,186.0,198.0,-12.0
360229,BEBO,NAN,116.0,130.0,-14.0
378512,KG/SBC | Oreo,22.0,31.0,41.0,-10.0
395730,PQ2 | CPU0,NAN,NAN,43.0,NAN
436506,FestivalDeLaCombo,NAN,131.0,144.0,-13.0
448153,Neenor,78.0,112.0,126.0,-14.0
466221,Melo,NAN,166.0,178.0,-12.0
472971,MaxJacks,105.0,116.0,130.0,-14.0
483428,DCG | Spots,96.0,152.0,165.0,-13.0
484238,Alextrer,NAN,NAN,61.0,NAN
493224,Fitz,88.0,59.0,72.0,-13.0
503278,Pogey,82.0,116.0,130.0,-14.0
512704,Axis,96.0,152.0,165.0,-13.0
520837,Neck,40.0,38.0,48.0,-10.0
533918,Maelstrom,75.0,110.0,124.0,-14.0
542693,Bbatts,9.0,19.0,25.0,-6.0
577038,Zakqary,NAN,166.0,178.0,-12.0
582190,rice,NAN,166.0,178.0,-12.0
618857,Lamdin,26.0,42.0,53.0,-11.0
627118,Pipe,42.0,54.0,67.0,-13.0
657464,CowCowCowCowCow,78.0,22.0,32.0,-10.0
657711,PurpleZ,56.0,84.0,97.0,-13.0
684008,deep_cuts,NAN,166.0,178.0,-12.0
692999,maso soup,96.0,152.0,165.0,-13.0
725508,620 | Megacaat,NAN,152.0,49.0,103.0
732665,Lama,NAN,NAN,61.0,NAN
800147,Dark Oreo Master,NAN,186.0,198.0,-12.0
804411,Neee,105.0,166.0,178.0,-12.0
807868,Funk,88.0,131.0,144.0,-13.0
819230,Willy P,30.0,30.0,39.0,-9.0
852916,Krizski,8.0,10.0,13.0,-3.0
856699,Logan,NAN,131.0,144.0,-13.0
862074,snacklepackle,82.0,93.0,106.0,-13.0
880372,Good1ife,37.0,64.0,77.0,-13.0
898035,mathandsurf,124.0,186.0,198.0,-12.0
1034300,Oz,88.0,131.0,144.0,-13.0
1053605,JFIRE,NAN,99.0,113.0,-14.0
1065524,Flippy,NAN,186.0,198.0,-12.0
1076996,Newquake,NAN,NAN,106.0,NAN
1228401,Asus(4),NAN,84.0,97.0,-13.0
1232194,Kawaii Kid | King Salmon,124.0,131.0,144.0,-13.0
1308234,JackO,124.0,186.0,198.0,-12.0
1466521,Floods,NAN,186.0,97.0,89.0
1487504,Arn255,65.0,99.0,113.0,-14.0
1525551,Lechero,124.0,186.0,198.0,-12.0
1638022,pathojin,96.0,131.0,144.0,-13.0
1640788,Special K,105.0,131.0,144.0,-13.0
1653242,Jquinnsweg,NAN,166.0,178.0,-12.0
1669002,JehL,124.0,186.0,198.0,-12.0
1737518,Kombeze Ataie,75.0,110.0,124.0,-14.0
1753671,Moonking34,NAN,131.0,144.0,-13.0
1866109,BubbleFuel,88.0,131.0,144.0,-13.0
1906382,KatBot,NAN,166.0,178.0,-12.0
1918686,roadkill,124.0,166.0,178.0,-12.0
1927744,pr0j3cts,124.0,186.0,198.0,-12.0
1940641,100 Days Of Solitude,NAN,166.0,178.0,-12.0
1944467,SUPERUNKNOWN,NAN,152.0,165.0,-13.0
1957958,50 Rats in a Trenchcoat,124.0,186.0,198.0,-12.0
1966716,LewdCelebs4Free,82.0,116.0,130.0,-14.0
1974127,Team Roz | aujory,NAN,186.0,198.0,-12.0
2026451,ASAPferq,NAN,186.0,198.0,-12.0
2029884,Nudepenguin,NAN,166.0,178.0,-12.0
2038523,thesiscat,88.0,131.0,144.0,-13.0
2103929,sidewinder572,124.0,186.0,198.0,-12.0
2114773,Raffshot,NAN,152.0,165.0,-13.0
2120266,hellojoe34,NAN,186.0,198.0,-12.0
2122811,$W@6 | rocketf20,NAN,166.0,178.0,-12.0
2133564,Brandt,105.0,166.0,178.0,-12.0
2136488,Sacred,56.0,84.0,97.0,-13.0
2140092,Jet,NAN,77.0,26.0,51.0
2143817,A HUMAN | Agile,NAN,186.0,198.0,-12.0
2145653,doubledown8,49.0,77.0,91.0,-14.0
2147280,slowtai,NAN,68.0,82.0,-14.0
2149456,Quadragesimus,105.0,116.0,130.0,-14.0
2154680,Godslayer903,71.0,84.0,97.0,-13.0
2156746,Wobs,124.0,186.0,198.0,-12.0
2167802,Bebop,NAN,166.0,178.0,-12.0
2172930,Sav,NAN,186.0,198.0,-12.0
2177428,KYROS | Chuchaka2112,78.0,112.0,126.0,-14.0
2178856,Abermega,124.0,186.0,198.0,-12.0
2179108,Mud,42.0,42.0,53.0,-11.0
2182633,sisig,NAN,152.0,165.0,-13.0
