SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6
70796,BHC | Evan,1,1,9,-2,-2,-2,-2,-2
71442,Wiza,2,0,-1,-2,-2,-2,-1,-2
127639,Neologism,3,2,-2,-1,7,-2,-2,17
128266,EASTJ | Mike,1,0,-2,-2,-2,-2,-2,-1
129363,Flow | ESPONJA,3,0,-2,-1,-2,-2,-1,-1
129500,O N I,1,0,-2,-2,-2,-1,-2,-2
130672,Soltrain,1,0,-2,-2,-2,-1,-2,-2
130746,TZ | Morrito,1,0,-1,-2,-2,-2,-2,-2
132938,RU | Midnight Blue,2,0,-1,-2,-2,-2,-1,-2
134929,IDK,1,0,-2,-2,-2,-2,-2,-1
135088,LFG | PanterA,2,2,-2,-2,7,-2,13,-2
135795,cockbread,2,0,-2,-1,-2,-1,-2,-2
136379,HoG | Warmmer,2,2,7,-2,-2,9,-2,-2
137480,Jpeg | RC,1,0,-2,-2,-2,-2,-2,-1
138710,Golden,1,0,-2,-1,-2,-2,-2,-2
144133,YBBT | leroydankins,3,0,-1,-2,-2,-1,-1,-2
144798,akir,2,1,-1,-2,-2,-2,13,-2
145075,blazerboy,2,0,-2,-2,-2,-1,-1,-2
147423,FlLFFl,2,0,-2,-1,-2,-2,-2,-1
147424,Spiral Cafe | Krudo,2,0,-2,-2,-2,-1,-2,-1
148021,Rodney,1,0,-2,-1,-2,-2,-2,-2
149076,Fiyah,1,0,-2,-2,-2,-2,-2,-1
149952,Jakespeare,1,0,-2,-1,-2,-2,-2,-2
150851,Ath | Bumble,1,0,-1,-2,-2,-2,-2,-2
152800,wally,1,0,-2,-2,-2,-1,-2,-2
153138,ZouL,1,0,-1,-2,-2,-2,-2,-2
153334,Silkylaroux,2,0,-1,-1,-2,-2,-2,-2
153599,NS | Frog,3,0,-2,-1,-2,-2,-1,-1
157615,ight,3,0,-1,-1,-2,-2,-2,-1
158524,Oferton,1,0,-1,-2,-2,-2,-2,-2
162779,FISA | JoJo,1,1,-2,-2,-2,-2,17,-2
171201,Mootook,1,0,-2,-2,-2,-2,-2,-1
172046,Saya | QQQ#348,1,0,-2,-2,-2,-2,-2,-1
172608,Churro,1,0,-1,-2,-2,-2,-2,-2
172811,Amity,1,0,-2,-2,-2,-1,-2,-2
173178,LAG,2,1,-1,9,-2,-2,-2,-2
175446,DJAN,1,0,-2,-2,-2,-2,-1,-2
175629,WRLD,1,0,-2,-2,-2,-1,-2,-2
176387,Badboi,1,0,-2,-2,-2,-1,-2,-2
179962,Fran,1,0,-2,-2,-2,-2,-1,-2
179993,Archi,1,0,-2,-2,-2,-1,-2,-2
182665,Elysian,1,1,-2,-2,-2,-2,-2,17
183677,Yamasaki,5,0,-1,-1,-2,-1,-1,-1
184545,Pulch,1,0,-2,-2,-2,-2,-2,-1
185618,Captain G,1,0,-1,-2,-2,-2,-2,-2
193839,Loki,1,0,-1,-2,-2,-2,-2,-2
213297,Chompy,2,0,-2,-2,-2,-2,-1,-1
213911,jtetter,2,0,-2,-2,-2,-1,-2,-1
215584,LAGr | Travioli,4,2,-1,-2,13,17,-2,-1
221136,Zeeker,6,6,9,7,9,9,13,5
221423,Typhoon,3,3,-2,13,-2,-2,17,13
226271,SU | wild flower,1,0,-2,-2,-2,-1,-2,-2
226595,TourGuide,2,0,-2,-2,-2,-2,-1,-1
227436,Chet,1,0,-2,-2,-2,-2,-2,-1
227672,DumpyComb,1,0,-2,-2,-2,-2,-2,-1
228400,Piti,1,0,-1,-2,-2,-2,-2,-2
229209,15SA | Raiken,1,0,-2,-2,-2,-1,-2,-2
230350,AR0,1,0,-2,-2,-2,-2,-1,-2
230537,hHerb,2,0,-1,-2,-2,-2,-2,-1
231083,Phaunsey,1,0,-2,-2,-2,-1,-2,-2
231685,DMT,1,0,-2,-1,-2,-2,-2,-2
232213,MikeDrop,1,0,-1,-2,-2,-2,-2,-2
233059,Ribboned Ace,3,0,-1,-1,-2,-1,-2,-2
233850,E-tie,1,0,-2,-1,-2,-2,-2,-2
237282,Electroman,1,0,-2,-1,-2,-2,-2,-2
243525,Radamen,1,0,-2,-2,-2,-1,-2,-2
247592,Bassline,1,0,-2,-2,-2,-2,-1,-2
250355,Rutsky,1,0,-2,-2,-2,-2,-1,-2
253767,Captain Pretzel,1,0,-2,-2,-2,-2,-1,-2
254673,Layer,3,0,-2,-1,-2,-2,-1,-1
255496,ericiscool.net,4,0,-1,-1,-2,-1,-1,-2
257406,Lotfy,2,2,5,9,-2,-2,-2,-2
259856,Seraph,2,0,-2,-2,-2,-1,-1,-2
260286,24 | Mamba!,1,0,-2,-2,-2,-2,-1,-2
260631,Coco,1,0,-2,-2,-2,-2,-2,-1
262000,Minty Hippo,1,0,-2,-2,-2,-2,-1,-2
265808,NOOT,1,1,-2,-2,-2,17,-2,-2
268767,markrevival,4,0,-1,-1,-2,-2,-1,-1
269238,91,2,0,-1,-1,-2,-2,-2,-2
269511,SquidTheCat,1,0,-2,-2,-2,-2,-2,-1
271333,MMG | Seven,1,0,-1,-2,-2,-2,-2,-2
274941,unlimited boy,1,0,-2,-1,-2,-2,-2,-2
278295,ItsDad,1,0,-1,-2,-2,-2,-2,-2
279107,Khryke,4,4,13,17,5,17,-2,-2
279722,EP | Justus,4,4,17,7,-2,13,-2,17
283648,MDF | Amor,2,0,-2,-2,-2,-1,-1,-2
286517,Thad <3,1,0,-2,-2,-2,-1,-2,-2
286931,Egg$,1,0,-2,-2,-2,-1,-2,-2
287526,MacTheStampede,1,0,-2,-2,-2,-2,-1,-2
287589,The Elder Statesman,1,0,-2,-2,-2,-2,-1,-2
288395,jams,1,0,-1,-2,-2,-2,-2,-2
310321,TC | BuyMyMixTape,1,0,-1,-2,-2,-2,-2,-2
323132,JC,1,0,-2,-1,-2,-2,-2,-2
323499,Edier,1,0,-2,-2,-2,-2,-2,-1
