SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,ChangeInRank
581039,I'm Michael BTW,NAN,NAN,NAN,40.0,51.0,49.0,2.0
582190,rice,NAN,166.0,178.0,224.0,211.0,247.0,-36.0
592481,Riggs,NAN,NAN,NAN,201.0,240.0,286.0,-46.0
617254,N8v,NAN,NAN,NAN,NAN,280.0,195.0,85.0
618813,Chance,NAN,NAN,NAN,NAN,142.0,80.0,62.0
618857,Lamdin,26.0,42.0,53.0,71.0,86.0,108.0,-22.0
623333,Echo_SSBM | Commas,NAN,NAN,NAN,NAN,NAN,286.0,NAN
627118,Pipe,42.0,54.0,67.0,57.0,55.0,66.0,-11.0
637179,Sodabro,NAN,NAN,NAN,108.0,139.0,161.0,-22.0
657464,CowCowCowCowCow,78.0,22.0,32.0,39.0,49.0,61.0,-12.0
657711,PurpleZ,56.0,84.0,97.0,75.0,95.0,118.0,-23.0
684008,deep_cuts,NAN,166.0,178.0,244.0,280.0,339.0,-59.0
692999,maso soup,96.0,152.0,165.0,224.0,263.0,312.0,-49.0
694497,IMP | Ben,NAN,NAN,NAN,19.0,13.0,5.0,8.0
709843,Chem,NAN,NAN,NAN,96.0,127.0,147.0,-20.0
725508,620 | Megacaat,NAN,152.0,49.0,64.0,78.0,102.0,-24.0
726185,DBRDd#641,NAN,NAN,NAN,270.0,315.0,381.0,-66.0
732665,Lama,NAN,NAN,61.0,82.0,102.0,126.0,-24.0
800147,Dark Oreo Master,NAN,186.0,198.0,270.0,315.0,381.0,-66.0
804411,Neee,105.0,166.0,178.0,244.0,280.0,339.0,-59.0
807868,Funk,88.0,131.0,144.0,201.0,240.0,286.0,-46.0
819230,Willy P,30.0,30.0,39.0,49.0,58.0,69.0,-11.0
836691,BeanBurrito-San,NAN,NAN,NAN,NAN,198.0,247.0,-49.0
843302,Buffalo,NAN,NAN,NAN,162.0,188.0,234.0,-46.0
852916,Krizski,8.0,10.0,13.0,17.0,18.0,19.0,-1.0
856699,Logan,NAN,131.0,144.0,201.0,240.0,286.0,-46.0
858866,SLO | GrizzlyBair,NAN,NAN,NAN,129.0,114.0,135.0,-21.0
862074,snacklepackle,82.0,93.0,106.0,138.0,60.0,71.0,-11.0
869465,NSB  |  KXT,NAN,NAN,NAN,NAN,NAN,182.0,NAN
880372,Good1ife,37.0,64.0,77.0,103.0,133.0,147.0,-14.0
883137,Keppler,NAN,NAN,NAN,NAN,315.0,381.0,-66.0
890721,Mr. Butterfly,NAN,NAN,NAN,NAN,82.0,105.0,-23.0
897692,Iron,NAN,NAN,NAN,184.0,220.0,268.0,-48.0
898035,mathandsurf,124.0,186.0,198.0,270.0,315.0,381.0,-66.0
928033,CarbonDog,NAN,NAN,NAN,NAN,NAN,182.0,NAN
1034300,Oz,88.0,131.0,144.0,201.0,240.0,286.0,-46.0
1034371,niimo,NAN,NAN,NAN,270.0,315.0,381.0,-66.0
1053202,diddylonglegs,NAN,NAN,NAN,152.0,177.0,216.0,-39.0
1053605,JFIRE,NAN,99.0,113.0,152.0,177.0,216.0,-39.0
1065524,Flippy,NAN,186.0,198.0,270.0,315.0,381.0,-66.0
1076996,Newquake,NAN,NAN,106.0,138.0,142.0,165.0,-23.0
1077796,FreeHops,NAN,NAN,NAN,NAN,NAN,339.0,NAN
1105215,krizzy,NAN,NAN,NAN,NAN,NAN,381.0,NAN
1106504,omnijr,NAN,NAN,NAN,NAN,NAN,286.0,NAN
1112770,Penguis,NAN,NAN,NAN,184.0,220.0,268.0,-48.0
1122123,Alex AF,NAN,NAN,NAN,244.0,280.0,339.0,-59.0
1194651,Pound,NAN,NAN,NAN,NAN,164.0,155.0,9.0
1228401,Asus(4),NAN,84.0,97.0,129.0,158.0,182.0,-24.0
1232194,Kawaii Kid | King Salmon,124.0,131.0,144.0,201.0,240.0,286.0,-46.0
1257072,Chaboomba,NAN,NAN,NAN,NAN,NAN,234.0,NAN
1261736,Mars,NAN,NAN,NAN,270.0,315.0,381.0,-66.0
