SmasherID,SmashTag,Main,FirstTMT
885830,HorseGirl420,Falco,5
3734,Hulka,Sheik,1
465131,Hunybear,Link,1
152430,HWY | ybot,Marth,5
157615,ight,Falcon,3
149952,Jakespeare,Falco,3
288395,jams,Samus,1
6700,JCubez,Falcon,3
413573,John,Falco,3
420458,Jorge,Fox,4
15060,Just Jason,Sheik,4
301566,JustJoshin,Falco,2
18722,K.H.D | Reign,Ganon,2
229216,KaiKwonDo,Falco,2
21525,Kaptinkillem,Falco,3
276041,Kettering,Falcon,5
2085246,kippu,Marth,2
279871,KLAWHAU5,Marth,4
26750,KoDoRiN,Marth,1
173178,LAG,Roy,4
329937,LanTurN,Sheik,3
1047164,lemon,Sheik,4
28793,Light,Falco,2
48578,LoneCubone,Sheik,3
61897,PEP | LSD,Marth,1
364725,LUNK#783 | dom,Marth,3
641180,Luppi,Falco,2
156518,Lust,Fox,4
703647,LVD | Super,Falco,5
51488,Maher,Marth,5
13932,Mango's Friend | Lucky,Fox,4
268767,markrevival,Fox,3
327212,Marrgasm,Fox,1
25478,Maruf,Luigi,5
27527,Megaman,Fox,2
1301072,Melos,Falco,4
353165,Milo,Fox,1
4127,MIOM | Toph,Fox,1
65566,Miranda,Ganon,1
897815,moscow mich,Marth,3
174790,Mounir,Pichu,4
27862,Musashi,Fox,1
617254,N8V,Marth,1
127639,Neologism,Falco,4
718293,Nico,Falco,2
265808,NOOT,Falco,1
13748,Null,Fox,3
700566,olé,Fox,5
45356,OtES,Fox,1
7550,OXY | TheCrimsonBlur,Marth,4
27638,Panda,Fox,4
61570,YC | Pappi,Falco,4
40403,Pawn,Falco,1
26387,Phantom Airline,Marth,5
627118,Pipe,Sheik,1
33387,pointykitty,Marth,2
1099771,PP | Droze,Falco,4
31090,punished | gelp,Peach,4
175490,QoT | Cruelscotty,Luigi,4
155077,radvillainy,Falcon,1
2114773,Raffshot,Falcon,4
13960,RB | V$,Marth,3
38643,RedX,Link,1
1077,Revenge | Gahtzu,Falcon,1
132537,RG | Far!,Sheik,5
65598,rickey_kc,Falco,4
223503,Rigo Bigo,Falco,2
53365,Ringler,DK,1
682345,Rive,Falcon,5
22688,ROFL,Falco,4
367758,Rose,Sheik,4
47866,Erik,Fox,2
1017,S2J,Falcon,1
478083,saacdaddy,Falcon,4
64692,SANS | Blues Clues,Peach,1
2123726,Sax,Falcon,5
2021066,Schweppes,Falcon,4
50047,ScrubUp,Sheik,4
325974,SDJ,Puff,3
1094290,SudoJoe,Falco,5
150888,Shy,Falco,2
153334,Silkylaroux,Falcon,4
1315595,Sleeepy,Fox,4
858866,SLO | GrizzlyBair,Puff,4
407878,Slump,Falco,1
862074,snacklepackle,Falcon,4
694759,snek,Samus,4
1575919,Snickerdoodle,Falco,5
16023,soccermom69,Marth,2
4317,Solo.,Fox,4
130672,Soltrain,Peach,4
19346,SonOfJ,Fox,2
1640788,Special K,Samus,5
147424,Spiral Cafe | Krudo,Sheik,4
56287,Sporsinick,Samus,4
54316,Stone,Fox,4
64644,STP,Samus,5
11945,Strazz,Doc,1
2011811,sucordie,Falcon,4
24423,Talen,Sheik,5
29840,TBD,Falco,2
310321,TC | BuyMyMixTape,Falco,4
