SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,Coast
1077796,FreeHops,1,2,1,0,0,0,0,65,WC
684008,deep_cuts,1,3,1,0,0,0,0,67,WC
748365,ledgefiend,1,3,1,0,0,0,0,67,WC
2276067,Dead C,1,4,1,0,0,0,0,69,WC
1940872,Spenny,1,4,1,0,0,0,0,69,WC
1466521,Floods,1,4,1,0,0,0,0,69,WC
360229,BEBO,1,5,1,0,0,0,0,72,WC
1640788,Special K,1,6,1,0,0,0,0,73,WC
1533315,Essey,2,22,1,0,0,0,0,74,WC
2258693,Jbun,0,16,1,0,0,0,0,75,WC
148200,Big Pivot,0,18,1,0,0,0,0,75,WC
2146437,actually hmhh | LionTimeMachine,0,2,1,0,0,0,0,75,WC
1944467,SUPERUNKNOWN,0,1,1,0,0,0,0,75,WC
19979,Sammy,0,4,1,0,0,0,0,75,WC
906300,ilovedenmark69,0,2,1,0,0,0,0,75,WC
245346,SIMP | Vagab0nd,0,1,1,0,0,0,0,75,WC
268767,markrevival,0,3,1,0,0,0,0,75,WC
37975,Zellpree,0,1,1,0,0,0,0,75,WC
147811,Dawson,12,3,0,0,0,1,0,1,EC
581039,I'm Michael BTW,13,4,0,0,0,1,0,2,EC
542693,Bbatts,8,0,0,0,1,0,0,3,EC
2179108,Mud,11,4,0,0,1,0,0,4,EC
14592,ZOOK | Suezo,7,1,0,0,1,0,0,5,EC
2269490,GGS,7,1,0,0,1,0,0,5,EC
448153,Neenor,7,2,0,0,1,0,0,7,EC
62721,Dirty Lasagna,8,3,0,0,1,0,0,8,EC
7149,Trail,6,1,0,0,1,0,0,9,EC
22595,Aura,7,2,0,0,1,0,0,10,EC
138710,Golden,6,2,0,0,1,0,0,11,EC
37223,PEP | Sp1nda,7,3,0,0,1,0,0,12,EC
539984,Ahmad,7,4,0,1,0,0,0,13,EC
709843,Chem,6,4,0,1,0,0,0,14,EC
5869,Joe(y) Bats,9,8,1,0,0,0,0,15,EC
150123,TPN,5,2,0,1,0,0,0,16,EC
147424,Spiral Cafe | Krudo,3,0,0,1,0,0,0,17,EC
32201,PRIN$E,6,3,0,1,0,0,0,18,EC
221136,Zeeker,4,3,0,1,0,0,0,19,EC
638273,SKY | Matwood,9,8,0,1,0,0,0,20,EC
135795,cockbread,5,5,0,1,0,0,0,21,EC
47650,shoelegend88,4,4,0,1,0,0,0,21,EC
26387,Phantom Airline,6,6,0,1,0,0,0,21,EC
184545,Pulch,4,5,1,0,0,0,0,24,EC
379419,Zab,7,9,1,0,0,0,0,25,EC
31487,Winx Club | Siddward,2,1,0,1,0,0,0,26,EC
2161547,DenverDaDestroyer,3,2,0,1,0,0,0,27,EC
14305,Nard Dawg,4,3,0,1,0,0,0,28,EC
232193,Chiefn_,5,6,1,0,0,0,0,29,EC
519985,Marvelboy,3,4,1,0,0,0,0,30,EC
2276931,BowserDad1964,3,4,1,0,0,0,0,30,EC
134823,QTT | Pelon,4,12,1,0,0,0,0,32,EC
657175,Bobakanoosh,4,12,1,0,0,0,0,32,EC
1053202,diddylonglegs,6,5,1,0,0,0,0,34,EC
2148389,LilTayNastyTay,3,3,1,0,0,0,0,35,EC
7764,sfy | Fizz,1,1,1,0,0,0,0,35,EC
205873,Funktrocious,1,1,1,0,0,0,0,35,EC
326727,Frumentarii,3,4,1,0,0,0,0,38,EC
1379261,S.O.D.A,3,4,1,0,0,0,0,38,EC
184457,MessiSTL,2,8,1,0,0,0,0,40,EC
512704,Axis,1,1,1,0,0,0,0,41,EC
1501041,Hamburglar,2,4,1,0,0,0,0,42,EC
48578,LoneCubone,2,4,1,0,0,0,0,42,EC
49875,Paladin,1,2,1,0,0,0,0,42,EC
28815,doctahdylan,2,5,1,0,0,0,0,45,EC
2139949,Devin1300,1,3,1,0,0,0,0,46,EC
2141139,Dr. Dipper,3,12,1,0,0,0,0,47,EC
232446,ash6,1,5,1,0,0,0,0,48,EC
287526,MacTheStampede,1,9,1,0,0,0,0,49,EC
152754,Hood,0,6,1,0,0,0,0,50,EC
582190,rice,0,6,1,0,0,0,0,50,EC
1585998,Arkdael,0,5,1,0,0,0,0,50,EC
1619505,keeg,0,2,1,0,0,0,0,50,EC
841539,Alpaca,0,9,1,0,0,0,0,50,EC
26934,Clay,0,2,1,0,0,0,0,50,EC
145075,blazerboy,0,1,1,0,0,0,0,50,EC
1800785,Canoe,0,2,1,0,0,0,0,50,EC
