SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RankChange
38175,W8ASec,28.0,52.0,60.0,-8.0
38201,Blue Jay,NAN,NAN,99.0,New
38567,Android 0,NAN,9.0,14.0,-5.0
38643,RedX,40.0,59.0,73.0,-14.0
40403,Pawn,56.0,63.0,65.0,-2.0
45356,OtES,40.0,59.0,73.0,-14.0
47866,S.C.E. | Erik,NAN,27.0,36.0,-9.0
48578,LoneCubone,NAN,NAN,112.0,New
51608,Vitro,43.0,66.0,82.0,-16.0
53365,Ringler,50.0,81.0,99.0,-18.0
54390,Question,NAN,27.0,36.0,-9.0
60696,FM | Cilan,NAN,32.0,21.0,11.0
61873,306 | Polo,19.0,35.0,42.0,-7.0
61897,LSD,5.0,8.0,4.0,4.0
64692,SANS | Blues Clues,13.0,7.0,9.0,-2.0
65566,Miranda,47.0,75.0,91.0,-16.0
65777,bobby big ballz,9.0,5.0,3.0,2.0
135157,billybopeep,19.0,35.0,42.0,-7.0
138710,Golden,12.0,18.0,26.0,-8.0
144133,YBBT | leroydankins,NAN,NAN,85.0,New
147251,GS | TreyTheTrashman,NAN,69.0,85.0,-16.0
147811,Dawson,27.0,50.0,56.0,-6.0
148200,Big Pivot,NAN,90.0,99.0,-9.0
149952,Jakespeare,NAN,NAN,85.0,New
150888,Shy,NAN,52.0,60.0,-8.0
155077,radvillainy,50.0,81.0,99.0,-18.0
157615,ight,NAN,NAN,48.0,New
157632,TurboThot,NAN,81.0,65.0,16.0
158148,Chewy,47.0,75.0,91.0,-16.0
183400,Doctor Dank,NAN,75.0,91.0,-16.0
185618,Captain G,15.0,23.0,30.0,-7.0
223503,Rigo Bigo,NAN,65.0,80.0,-15.0
229216,KaiKwonDo,NAN,75.0,91.0,-16.0
241260,Alex18+,47.0,51.0,58.0,-7.0
250581,Fizz,NAN,14.0,22.0,-8.0
255496,ericiscool.net,50.0,81.0,56.0,25.0
257025,2Framez,31.0,48.0,54.0,-6.0
265808,NOOT,38.0,56.0,69.0,-13.0
268767,markrevival,NAN,NAN,99.0,New
279722,EP | Justus,17.0,30.0,12.0,18.0
286517,Thad <3,37.0,44.0,52.0,-8.0
288395,jams,43.0,66.0,82.0,-16.0
294260,ABG | salami,19.0,35.0,42.0,-7.0
301566,JustJoshin,NAN,69.0,58.0,11.0
325974,SDJ,NAN,NAN,25.0,New
327212,Marrgasm,28.0,25.0,32.0,-7.0
329160,ZUTH | Zuthane,NAN,NAN,91.0,New
329937,LanTurN,NAN,NAN,65.0,New
353165,Milo,26.0,48.0,54.0,-6.0
357233,Afron,56.0,90.0,112.0,-22.0
364725,LUNK#783 | dom,NAN,NAN,99.0,New
391890,TheFormuoli,31.0,54.0,62.0,-8.0
407878,Slump,40.0,59.0,73.0,-14.0
413573,John,NAN,NAN,65.0,New
424095,Frost | JJK,56.0,90.0,112.0,-22.0
465131,Hunybear,23.0,43.0,51.0,-8.0
483428,DCG | Spots,NAN,NAN,99.0,New
508569,eh | sickÃ¸,NAN,NAN,80.0,New
528737,3OutChange,NAN,81.0,99.0,-18.0
585236,306 | Amrak,31.0,20.0,10.0,10.0
617254,N8V,50.0,81.0,99.0,-18.0
627118,Pipe,31.0,40.0,47.0,-7.0
641180,Luppi,NAN,81.0,99.0,-18.0
