SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,ChangeInRank
171034,Den,NAN,NAN,NAN,NAN,103.0,128.0,126.0,148.0,-22.0
171111,UARK | VentusWK,NAN,NAN,NAN,125.0,157.0,179.0,203.0,231.0,-28.0
173178,LAG,NAN,NAN,NAN,71.0,56.0,26.0,24.0,28.0,-4.0
174790,Mounir,NAN,NAN,NAN,96.0,110.0,137.0,158.0,185.0,-27.0
175324,Dandy,NAN,NAN,NAN,NAN,NAN,NAN,126.0,148.0,-22.0
175490,QoT | Cruelscotty,NAN,NAN,NAN,73.0,60.0,68.0,76.0,86.0,-10.0
176387,Badboi,NAN,NAN,NAN,176.0,207.0,234.0,267.0,242.0,25.0
178194,foxmcchicken,NAN,NAN,NAN,NAN,NAN,NAN,248.0,280.0,-32.0
182665,Elysian,NAN,NAN,NAN,NAN,NAN,90.0,103.0,117.0,-14.0
183280,WW | Lemonjuices,NAN,NAN,NAN,NAN,77.0,90.0,103.0,117.0,-14.0
183400,Doctor Dank,NAN,75.0,91.0,150.0,185.0,210.0,241.0,272.0,-31.0
183677,Yamasaki,NAN,NAN,NAN,120.0,148.0,168.0,163.0,158.0,5.0
185178,Captain Koala,NAN,NAN,NAN,NAN,NAN,NAN,NAN,280.0,NAN
185618,Captain G,15.0,23.0,30.0,42.0,52.0,60.0,67.0,73.0,-6.0
186967,Bug Juice | Snorlaxative,NAN,NAN,NAN,NAN,NAN,NAN,223.0,252.0,-29.0
205873,Funktrocious,NAN,NAN,NAN,NAN,NAN,NAN,267.0,300.0,-33.0
213911,jtetter,NAN,NAN,NAN,NAN,NAN,196.0,148.0,143.0,5.0
217541,noChill,NAN,NAN,NAN,NAN,NAN,109.0,124.0,143.0,-19.0
219761,volt.,NAN,NAN,NAN,NAN,NAN,NAN,NAN,300.0,NAN
219919,Frozone,NAN,NAN,NAN,150.0,185.0,210.0,241.0,272.0,-31.0
221423,Typhoon,NAN,NAN,NAN,NAN,NAN,89.0,50.0,42.0,8.0
223503,Rigo Bigo,NAN,65.0,80.0,125.0,157.0,179.0,203.0,231.0,-28.0
225081,:3 | fenceturtle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,79.0,NAN
228514,dabt,NAN,NAN,NAN,NAN,NAN,NAN,203.0,231.0,-28.0
229216,KaiKwonDo,NAN,75.0,91.0,150.0,128.0,88.0,101.0,114.0,-13.0
230537,hHerb,NAN,NAN,NAN,132.0,164.0,123.0,141.0,165.0,-24.0
232213,MikeDrop,NAN,NAN,NAN,NAN,NAN,NAN,NAN,143.0,NAN
241260,Alex18+,47.0,51.0,58.0,88.0,74.0,84.0,97.0,111.0,-14.0
250581,Fizz,NAN,14.0,22.0,14.0,16.0,19.0,25.0,29.0,-4.0
253180,Yuki08,NAN,NAN,NAN,NAN,NAN,NAN,267.0,300.0,-33.0
255496,ericiscool.net,50.0,81.0,56.0,83.0,97.0,87.0,100.0,109.0,-9.0
257025,2Framez,31.0,48.0,54.0,78.0,92.0,110.0,126.0,148.0,-22.0
257406,Lotfy,NAN,NAN,NAN,NAN,NAN,NAN,NAN,51.0,NAN
259437,Daddy Icey,NAN,NAN,NAN,NAN,207.0,234.0,267.0,300.0,-33.0
264211,BLM | Rats!,NAN,NAN,NAN,78.0,92.0,110.0,126.0,148.0,-22.0
265808,NOOT,38.0,56.0,69.0,20.0,24.0,24.0,20.0,22.0,-2.0
268767,markrevival,NAN,NAN,99.0,125.0,119.0,110.0,126.0,143.0,-17.0
275884,Maljo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,252.0,NAN
276041,Kettering,NAN,NAN,NAN,NAN,164.0,179.0,190.0,204.0,-14.0
279722,EP | Justus,17.0,30.0,12.0,15.0,17.0,20.0,26.0,26.0,0.0
279871,KLAWHAU5,NAN,NAN,NAN,160.0,191.0,217.0,248.0,280.0,-32.0
286517,Thad <3,37.0,44.0,52.0,67.0,79.0,84.0,97.0,96.0,1.0
288395,jams,43.0,66.0,82.0,132.0,164.0,189.0,215.0,242.0,-27.0
294260,ABG | salami,19.0,35.0,42.0,58.0,67.0,75.0,88.0,102.0,-14.0
301566,JustJoshin,NAN,69.0,58.0,88.0,102.0,123.0,141.0,165.0,-24.0
310321,TC | BuyMyMixTape,NAN,NAN,NAN,112.0,135.0,156.0,179.0,212.0,-33.0
312097,Nyte,NAN,NAN,NAN,NAN,NAN,NAN,126.0,148.0,-22.0
