SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8,PWeek9,PWeek10,PWeek11,PWeek12
22688.0,ROFL,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
22848.0,darkwizard123,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
22937.0,USF | Quadae,1,1,-2.0,-2.0,-2.0,-2,-2,13,-2,-2,-2,-2,-2,-2
23422.0,ZimD00D,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
23501.0,Ratt,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-1
23920.0,GHQ | Zamu,1,1,9.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
24024.0,OAK | Spacepigeon,2,2,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,13,-2,-2,7
24423.0,Talen,2,0,-2.0,-2.0,-2.0,-2,-1,-1,-2,-2,-2,-2,-2,-2
25478.0,Maruf,2,1,-2.0,-2.0,-2.0,-2,-1,-2,17,-2,-2,-2,-2,-2
25789.0,Tourist,1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
26144.0,Flounder,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
26153.0,DarkGenex,2,0,-1.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
26387.0,Phantom Airline,5,0,-2.0,-2.0,-2.0,-2,-1,-1,-2,-1,-2,-1,-1,-2
26579.0,Zave,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2,-2,-2,-2,-2
26701.0,dirtyDev,3,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-1,-2,-1,-2,-2
26750.0,KoDoRiN,9,9,5.0,7.0,4.0,9,2,5,9,-2,1,-2,9,-2
26830.0,Fent0n,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
27069.0,JoeyBonzo,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
27257.0,TBS | Nero,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1,-2,-1,-2,-2
27479.0,Canes | ATM,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
27527.0,Megaman,5,1,-2.0,-1.0,17.0,-2,-1,-2,-2,-1,-2,-1,-2,-2
27638.0,Panda,2,2,-2.0,-2.0,-2.0,17,-2,-2,-2,-2,-2,-2,-2,3
27754.0,Chummi,2,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1,13,-2,-2,-2
27862.0,Musashi,2,1,-1.0,25.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
28342.0,M,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
28391.0,Vigilance,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
28588.0,pem$,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-1,-2,-2,-2
28663.0,QTT | Marco,3,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-1,-1
28793.0,Light,1,1,-2.0,17.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
29103.0,Hexjo,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
29373.0,DirtyDan | Sigh,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
29405.0,Vianny,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
29840.0,TBD,4,3,-2.0,17.0,-2.0,-1,-2,17,-2,-2,-2,-2,25,-2
30054.0,20PcMcnugget,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
30581.0,Jolf,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-1,-2,-2,-2,-2
30865.0,Spi,4,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2,-2,-1,-1,-1
31090.0,punished | gelp,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
31473.0,C H U M P I S,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1,-2,-2,-2,-2
31487.0,Winx Club | Siddward,3,3,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,7,25,13
31658.0,early,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
32190.0,Crow,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-1,-1,-2,-2
32201.0,PRIN$E,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-1
33239.0,SheepHair,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
33371.0,Fraud,2,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-1,-2
33387.0,pointykitty,4,0,-2.0,-1.0,-2.0,-1,-1,-1,-2,-2,-2,-2,-2,-2
33655.0,Mo $,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
33731.0,Joemama,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
34266.0,WOMB#619 | Wombat,5,0,-2.0,-2.0,-1.0,-1,-1,-2,-2,-2,-2,-1,-2,-1
34399.0,BuenasRetas | Cobs,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-1
34863.0,Gulu,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
34980.0,Crispy | Chango,3,3,-2.0,-2.0,-2.0,17,-2,-2,-2,-2,17,17,-2,-2
35258.0,LFG | Fist Mexico,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
35423.0,Gaz333,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2,-2,-2,-2,-2
36782.0,Oaty,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
36990.0,Trock,1,1,-2.0,13.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
37062.0,Reaver_King,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
37116.0,GUG | KÃ¼rv,7,7,-2.0,-2.0,-2.0,17,9,-2,3,13,9,4,13,-2
37162.0,SmashBob SquarePants,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
38175.0,W8ASec,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
38201.0,Blue Jay,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
38567.0,Android 0,1,1,-2.0,5.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
38643.0,RedX,7,0,-1.0,-2.0,-2.0,-2,-1,-1,-1,-2,-1,-1,-1,-2
38979.0,RULE#492 | Tristan's Rule,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
39235.0,Dream,3,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-1,9
39389.0,Profanity,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
39997.0,Sparky,3,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1,-1,-1,-2,-2
40399.0,Elders React | Third Strongest,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-1
40403.0,Pawn,9,0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-2,-2,-2
40476.0,Medz,2,2,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,5,5
40780.0,Elk G | Digimon,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
40839.0,IS | Bisfo,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
41211.0,Denzill,3,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2,-2,-1,-2,-1
41433.0,MP3,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-1,-2,-2,-2
41492.0,Divine Senator Kelly,4,0,-2.0,-2.0,-2.0,-1,-2,-2,-1,-2,-2,-1,-2,-1
44671.0,Quaff,2,2,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,13,9,-2
45197.0,Daz,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
45356.0,OtES,4,0,-1.0,-2.0,-2.0,-2,-2,-2,-1,-1,-1,-2,-2,-2
45903.0,Figs,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
46349.0,Aura,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,9,-2,-2
46752.0,doby,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-1
47650.0,shoelegend88,3,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-1,-2,-2,-2,-1
47832.0,IceCreamOG,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1,-2,-2,-2,-2
47866.0,Erik,8,8,-2.0,17.0,-2.0,25,13,5,5,9,7,5,-2,-2
48322.0,AHHHHH | Alice,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
48578.0,LoneCubone,2,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
48850.0,TNS | Asashi,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,9,-2,-2
48857.0,hestoned,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1,-2,-2,-2,-2
48931.0,in10city,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
49211.0,deluxe,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-1,-1,-2,-2
49711.0,sad | UwUMysticalGirl,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-1
50047.0,ScrubUp,2,0,-2.0,-2.0,-2.0,-1,-2,-2,-1,-2,-2,-2,-2,-2
50143.0,R3 | $limChang,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,13,-2
50937.0,Wumbo,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
51055.0,bird | unlucky,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2,-2,-2,-2,-2
51112.0,Pilgrim,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-1
51464.0,UCLA | Suvir,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
51488.0,Maher,1,1,-2.0,-2.0,-2.0,-2,13,-2,-2,-2,-2,-2,-2,-2
51608.0,Vitro,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
53112.0,8-bit | dansdaman,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2,-2,-2,-2,-2
53131.0,DHB | IggyNieves,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
53365.0,Ringler,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
54316.0,Stone,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
54390.0,Bonn Esports | Question,2,1,-2.0,17.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
54997.0,RetroSHFFL | Lex,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
55354.0,Travy,2,0,-2.0,-2.0,-2.0,-1,-1,-2,-2,-2,-2,-2,-2,-2
