SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7
15390,Tammerath,NAN,NAN,NAN,NAN,NAN,NAN,10.0
15678,Zeph,NAN,NAN,NAN,12.0,12.0,12.0,12.0
15948,glum oinkin',NAN,3.0,3.0,3.0,3.0,3.0,3.0
16023,soccermom69,NAN,47.0,47.0,47.0,47.0,47.0,47.0
16066,TG NBR | Panos,9.0,9.0,9.0,55.0,55.0,55.0,55.0
16393,Higgins,NAN,NAN,NAN,NAN,NAN,NAN,49.0
18722,K.H.D | Reign,NAN,3.0,3.0,3.0,6.0,6.0,6.0
19346,SonOfJ,NAN,18.0,18.0,18.0,18.0,18.0,18.0
21215,Dom,99.0,99.0,99.0,99.0,99.0,99.0,99.0
21525,Kaptinkillem,NAN,NAN,11.0,11.0,11.0,11.0,24.0
21661,GLR | JAM,NAN,42.0,42.0,63.0,94.0,94.0,94.0
22479,GEM | CrossFitJesus,NAN,NAN,NAN,31.0,31.0,31.0,31.0
22688,ROFL,NAN,NAN,NAN,19.0,19.0,19.0,19.0
22848,darkwizard123,NAN,NAN,NAN,21.0,21.0,21.0,21.0
22937,USF | Quadae,NAN,NAN,NAN,NAN,NAN,40.0,40.0
23920,GHQ | Zamu,65.0,65.0,65.0,65.0,65.0,65.0,65.0
24423,Talen,NAN,NAN,NAN,NAN,8.0,13.0,13.0
25478,Maruf,NAN,NAN,NAN,NAN,11.0,11.0,38.0
25789,Tourist,NAN,9.0,9.0,9.0,9.0,9.0,9.0
26153,DarkGenex,16.0,16.0,16.0,41.0,41.0,41.0,41.0
26387,Phantom Airline,NAN,NAN,NAN,NAN,10.0,28.0,28.0
26579,Zave,NAN,NAN,NAN,NAN,NAN,12.0,12.0
26701,dirtyDev,NAN,NAN,NAN,7.0,7.0,7.0,7.0
26750,KoDoRiN,113.0,202.0,340.0,394.0,591.0,705.0,761.0
27527,Megaman,NAN,16.0,43.0,43.0,56.0,56.0,56.0
27638,Panda,NAN,NAN,NAN,34.0,34.0,34.0,34.0
