SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,RWeek9,RWeek10,RWeek11,ChangeInRank
4394,Zhyrri,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,115.0,NAN
4438,pinecone22,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,299.0,337.0,384.0,-47.0
4446,RCS | Chi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,439.0,NAN
4647,Gaz,NAN,NAN,NAN,NAN,NAN,103.0,82.0,96.0,106.0,123.0,139.0,-16.0
4738,Young,NAN,NAN,NAN,NAN,NAN,27.0,30.0,35.0,31.0,35.0,36.0,-1.0
4748,GST | Ryobeat,31.0,54.0,62.0,37.0,47.0,56.0,61.0,67.0,74.0,82.0,91.0,-9.0
4864,Theftz,46.0,69.0,73.0,112.0,135.0,156.0,179.0,212.0,224.0,289.0,324.0,-35.0
5050,Troy,NAN,NAN,NAN,125.0,157.0,179.0,203.0,231.0,243.0,320.0,362.0,-42.0
5457,Bones,NAN,NAN,NAN,64.0,18.0,21.0,16.0,17.0,18.0,20.0,20.0,0.0
5618,RadicalLiberal | Quiggles,28.0,29.0,17.0,16.0,13.0,15.0,15.0,16.0,15.0,16.0,16.0,0.0
5630,BKB! | stocmoney,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,213.0,212.0,1.0
5765,Liquid,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,439.0,NAN
5869,KL | Kid,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,307.0,197.0,110.0
6700,JCubez,NAN,NAN,20.0,13.0,10.0,9.0,11.0,11.0,12.0,13.0,14.0,-1.0
7149,Trail,NAN,NAN,40.0,35.0,44.0,53.0,58.0,64.0,70.0,79.0,67.0,12.0
7201,.Ðempt,NAN,14.0,15.0,21.0,25.0,25.0,29.0,34.0,39.0,41.0,45.0,-4.0
7277,GOL | JSalt,NAN,NAN,NAN,NAN,NAN,NAN,NAN,38.0,43.0,46.0,52.0,-6.0
7550,OXY | TheCrimsonBlur,NAN,NAN,NAN,101.0,119.0,144.0,163.0,192.0,206.0,257.0,284.0,-27.0
7634,MT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,65.0,71.0,80.0,89.0,-9.0
7693,Kanye Rest,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,271.0,236.0,35.0
10228,Flow | Stark,NAN,NAN,NAN,NAN,NAN,NAN,NAN,158.0,168.0,206.0,162.0,44.0
10298,119 | Fabio,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,249.0,NAN
10362,Elk G | Ivayne,NAN,NAN,NAN,NAN,135.0,70.0,78.0,90.0,100.0,85.0,95.0,-10.0
10485,DD,16.0,13.0,11.0,11.0,11.0,13.0,14.0,15.0,17.0,18.0,18.0,0.0
10520,CREW | G,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,189.0,212.0,-23.0
10529,The Leaf,NAN,18.0,26.0,31.0,40.0,48.0,54.0,61.0,65.0,75.0,85.0,-10.0
10562,SFOP,NAN,NAN,NAN,NAN,NAN,NAN,NAN,31.0,16.0,12.0,12.0,0.0
10666,SF | Herrán,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,153.0,171.0,-18.0
10994,RedHousePainter,NAN,NAN,NAN,NAN,NAN,NAN,NAN,223.0,235.0,307.0,345.0,-38.0
11490,Dash,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,289.0,132.0,157.0
11603,Arctic,NAN,NAN,NAN,NAN,87.0,75.0,88.0,102.0,110.0,127.0,143.0,-16.0
11606,Elk_G | Karm,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,241.0,229.0,12.0
11781,htwa,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,189.0,92.0,97.0
11945,CSTR#106 | Strazz,50.0,63.0,69.0,106.0,128.0,151.0,174.0,128.0,110.0,106.0,112.0,-6.0
11961,Mucho Man Randy Passion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,387.0,345.0,42.0
12048,K8A,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,36.0,33.0,22.0,11.0
12137,yingling,24.0,44.0,23.0,27.0,35.0,32.0,37.0,43.0,34.0,37.0,33.0,4.0
12353,Twisty,NAN,16.0,13.0,17.0,21.0,22.0,27.0,32.0,37.0,38.0,41.0,-3.0
13376,Dhir,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,464.0,NAN
13385,ePG | Chevy,NAN,NAN,NAN,NAN,NAN,44.0,49.0,57.0,61.0,71.0,81.0,-10.0
13622,Blu-J,56.0,90.0,112.0,176.0,207.0,234.0,267.0,300.0,324.0,440.0,507.0,-67.0
13664,codeman,NAN,NAN,NAN,90.0,103.0,128.0,148.0,174.0,186.0,225.0,249.0,-24.0
13748,Null,NAN,NAN,16.0,12.0,14.0,18.0,23.0,25.0,27.0,29.0,32.0,-3.0
13765,Help,NAN,NAN,NAN,NAN,119.0,103.0,80.0,92.0,103.0,121.0,109.0,12.0
13906,SSBM-T | LuigiKid,NAN,NAN,NAN,NAN,NAN,NAN,NAN,192.0,206.0,257.0,284.0,-27.0
13932,Mango's Friend | Lucky,NAN,NAN,NAN,22.0,26.0,27.0,30.0,14.0,14.0,17.0,17.0,0.0
13956,Vino,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,186.0,NAN
13960,RB | V$,NAN,NAN,91.0,150.0,185.0,210.0,241.0,272.0,291.0,387.0,439.0,-52.0
14025,Austintacious,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,289.0,324.0,-35.0
14062,Jzhu,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,270.0,NAN
14305,Nard Dawg,NAN,NAN,NAN,NAN,NAN,NAN,NAN,204.0,71.0,73.0,67.0,6.0
14617,DiscipleOfBorp,43.0,66.0,82.0,132.0,164.0,189.0,215.0,242.0,256.0,337.0,384.0,-47.0
15060,Just Jason,NAN,NAN,NAN,176.0,207.0,234.0,267.0,300.0,324.0,440.0,507.0,-67.0
15070,Verdo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,241.0,270.0,-29.0
15171,oh,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,84.0,96.0,106.0,-10.0
15298,Cowbell,NAN,NAN,49.0,49.0,59.0,66.0,57.0,54.0,33.0,31.0,28.0,3.0
15390,Tammerath,NAN,NAN,NAN,NAN,NAN,NAN,163.0,185.0,197.0,241.0,270.0,-29.0
15678,Zeph,NAN,NAN,NAN,90.0,103.0,128.0,148.0,174.0,186.0,225.0,249.0,-24.0
15948,glum oinkin',NAN,75.0,91.0,150.0,185.0,210.0,241.0,272.0,291.0,387.0,439.0,-52.0
16023,soccermom69,NAN,23.0,30.0,42.0,52.0,60.0,67.0,73.0,80.0,91.0,100.0,-9.0
16066,TG NBR | Panos,38.0,56.0,69.0,36.0,46.0,55.0,60.0,65.0,71.0,80.0,89.0,-9.0
16294,Ders,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,320.0,362.0,-42.0
16393,Higgins,NAN,NAN,NAN,NAN,NAN,NAN,64.0,70.0,77.0,88.0,82.0,6.0
18652,LFTG | Logos,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,140.0,138.0,154.0,-16.0
18722,K.H.D | Reign,NAN,75.0,91.0,150.0,157.0,179.0,203.0,212.0,216.0,271.0,197.0,74.0
19346,SonOfJ,NAN,41.0,49.0,71.0,85.0,100.0,116.0,132.0,145.0,175.0,197.0,-22.0
19951,bliutwo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,174.0,213.0,236.0,-23.0
21215,Dom,8.0,11.0,18.0,23.0,28.0,31.0,36.0,41.0,46.0,49.0,56.0,-7.0
21305,Galen The Wise,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,256.0,337.0,384.0,-47.0
21469,ramrod,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,403.0,464.0,-61.0
21525,Kaptinkillem,NAN,NAN,62.0,96.0,110.0,137.0,101.0,114.0,123.0,145.0,162.0,-17.0
21661,GLR | JAM,NAN,26.0,34.0,31.0,29.0,32.0,37.0,27.0,29.0,34.0,35.0,-1.0
22088,Jib,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,271.0,306.0,-35.0
22479,GEM | CrossFitJesus,NAN,NAN,NAN,55.0,63.0,72.0,80.0,92.0,103.0,121.0,136.0,-15.0
22595,Aura,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,271.0,186.0,85.0
22688,ROFL,NAN,NAN,NAN,70.0,83.0,98.0,114.0,129.0,140.0,169.0,191.0,-22.0
22848,darkwizard123,NAN,NAN,NAN,67.0,79.0,94.0,110.0,123.0,132.0,160.0,178.0,-18.0
22937,USF | Quadae,NAN,NAN,NAN,NAN,NAN,65.0,72.0,79.0,88.0,100.0,112.0,-12.0
23501,Ratt,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,345.0,NAN
23920,GHQ | Zamu,11.0,16.0,24.0,29.0,38.0,46.0,52.0,59.0,63.0,72.0,82.0,-10.0
24024,OAK | Spacepigeon,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,75.0,84.0,93.0,-9.0
24423,Talen,NAN,NAN,NAN,NAN,135.0,123.0,141.0,165.0,174.0,213.0,236.0,-23.0
25478,Maruf,NAN,NAN,NAN,NAN,110.0,137.0,73.0,81.0,90.0,102.0,115.0,-13.0
25789,Tourist,NAN,56.0,69.0,106.0,128.0,151.0,174.0,204.0,216.0,271.0,306.0,-35.0
26144,Flounder,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,225.0,249.0,-24.0
26153,DarkGenex,24.0,44.0,52.0,47.0,57.0,64.0,71.0,78.0,87.0,99.0,111.0,-12.0
26387,Phantom Airline,NAN,NAN,NAN,NAN,119.0,75.0,88.0,76.0,84.0,75.0,67.0,8.0
26579,Zave,NAN,NAN,NAN,NAN,NAN,128.0,148.0,174.0,186.0,225.0,249.0,-24.0
26701,dirtyDev,NAN,NAN,NAN,120.0,148.0,168.0,190.0,136.0,149.0,167.0,186.0,-19.0
26750,KoDoRiN,6.0,6.0,6.0,7.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,-1.0
27257,TBS | Nero,NAN,NAN,NAN,NAN,NAN,NAN,NAN,192.0,206.0,193.0,216.0,-23.0
27479,Canes | ATM,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,307.0,345.0,-38.0
27527,Megaman,NAN,44.0,32.0,45.0,44.0,53.0,58.0,47.0,50.0,52.0,61.0,-9.0
27638,Panda,NAN,NAN,NAN,53.0,60.0,68.0,76.0,86.0,96.0,112.0,125.0,-13.0
27754,Chummi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,111.0,60.0,70.0,80.0,-10.0
27862,Musashi,31.0,39.0,46.0,62.0,72.0,82.0,96.0,109.0,118.0,135.0,152.0,-17.0
28588,pem$,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,324.0,440.0,507.0,-67.0
28663,QTT | Marco,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,175.0,159.0,16.0
28793,Light,NAN,33.0,39.0,54.0,62.0,71.0,79.0,91.0,101.0,118.0,133.0,-15.0
29103,Hexjo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,213.0,236.0,-23.0
29373,DirtyDan | Sigh,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,439.0,NAN
29840,TBD,NAN,30.0,38.0,37.0,47.0,37.0,40.0,45.0,48.0,56.0,54.0,2.0
30054,20PcMcnugget,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,439.0,NAN
30581,Jolf,NAN,NAN,NAN,NAN,NAN,NAN,158.0,129.0,140.0,169.0,191.0,-22.0
30865,Spi,NAN,NAN,NAN,NAN,NAN,NAN,190.0,223.0,235.0,289.0,284.0,5.0
31090,punished | gelp,NAN,NAN,NAN,140.0,172.0,196.0,223.0,252.0,270.0,359.0,408.0,-49.0
31473,C H U M P I S,NAN,NAN,NAN,NAN,NAN,NAN,NAN,204.0,216.0,271.0,306.0,-35.0
31487,Winx Club | Siddward,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,44.0,38.0,6.0
31658,early,NAN,NAN,NAN,160.0,191.0,217.0,248.0,280.0,299.0,403.0,464.0,-61.0
32190,Crow,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,168.0,112.0,125.0,-13.0
32201,PRIN$E,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,257.0,284.0,-27.0
33371,Fraud,NAN,NAN,NAN,120.0,148.0,168.0,190.0,223.0,235.0,307.0,270.0,37.0
33387,pointykitty,NAN,81.0,99.0,132.0,135.0,123.0,141.0,165.0,174.0,213.0,236.0,-23.0
33731,Joemama,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,324.0,NAN
34266,WOMB#619 | Wombat,NAN,NAN,85.0,106.0,119.0,144.0,163.0,192.0,206.0,225.0,249.0,-24.0
34399,BuenasRetas | Cobs,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,345.0,NAN
34863,Gulu,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,257.0,284.0,-27.0
34980,Crispy | Chango,NAN,NAN,NAN,56.0,64.0,73.0,82.0,96.0,69.0,51.0,59.0,-8.0
35423,Gaz333,NAN,NAN,NAN,NAN,NAN,NAN,141.0,165.0,174.0,213.0,236.0,-23.0
36782,Oaty,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,167.0,186.0,-19.0
36990,Trock,NAN,21.0,28.0,40.0,50.0,57.0,63.0,69.0,76.0,86.0,96.0,-10.0
37062,Reaver_King,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,345.0,NAN
37116,GUG | KÃ¼rv,NAN,NAN,NAN,49.0,27.0,29.0,13.0,12.0,11.0,10.0,10.0,0.0
37162,SmashBob SquarePants,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,306.0,NAN
38175,W8ASec,28.0,52.0,60.0,90.0,103.0,128.0,148.0,174.0,186.0,225.0,249.0,-24.0
38201,Blue Jay,NAN,NAN,99.0,160.0,191.0,217.0,248.0,280.0,299.0,403.0,464.0,-61.0
38567,Android 0,NAN,9.0,14.0,19.0,23.0,23.0,28.0,33.0,38.0,40.0,43.0,-3.0
38643,RedX,40.0,59.0,73.0,112.0,76.0,67.0,62.0,68.0,68.0,66.0,66.0,0.0
38979,RULE#492 | Tristan's Rule,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,160.0,178.0,-18.0
39235,Dream,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,153.0,102.0,51.0
39389,Profanity,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,439.0,NAN
39997,Sparky,NAN,NAN,NAN,NAN,NAN,NAN,NAN,158.0,123.0,109.0,121.0,-12.0
40399,Elders React | Third Strongest,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,284.0,NAN
40403,Pawn,56.0,63.0,65.0,73.0,79.0,82.0,82.0,92.0,101.0,118.0,133.0,-15.0
40476,Medz,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,40.0,NAN
40780,Elk G | Digimon,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,359.0,408.0,-49.0
40839,IS | Bisfo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,408.0,NAN
41211,Denzill,NAN,NAN,NAN,NAN,110.0,137.0,158.0,185.0,197.0,182.0,205.0,-23.0
41433,MP3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,243.0,320.0,362.0,-42.0
41492,Divine Senator Kelly,NAN,NAN,NAN,96.0,110.0,137.0,110.0,123.0,132.0,127.0,143.0,-16.0
44671,Quaff,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,86.0,39.0,47.0
45197,Daz,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,193.0,216.0,-23.0
45356,OtES,40.0,59.0,73.0,112.0,135.0,156.0,103.0,84.0,82.0,93.0,102.0,-9.0
46349,Aura,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,66.0,77.0,-11.0
46752,doby,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,225.0,249.0,-24.0
47650,shoelegend88,NAN,NAN,NAN,NAN,NAN,NAN,124.0,123.0,132.0,160.0,178.0,-18.0
47832,IceCreamOG,NAN,NAN,NAN,NAN,NAN,NAN,NAN,165.0,174.0,213.0,236.0,-23.0
47866,Erik,NAN,27.0,36.0,28.0,21.0,12.0,10.0,10.0,8.0,7.0,8.0,-1.0
48322,AHHHHH | Alice,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,337.0,384.0,-47.0
48578,LoneCubone,NAN,NAN,112.0,176.0,207.0,234.0,267.0,300.0,324.0,440.0,439.0,1.0
48850,TNS | Asashi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,62.0,73.0,-11.0
48857,hestoned,NAN,NAN,NAN,NAN,NAN,NAN,NAN,114.0,123.0,145.0,162.0,-17.0
48931,in10city,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,271.0,306.0,-35.0
49211,deluxe,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,243.0,160.0,178.0,-18.0
49711,sad | UwUMysticalGirl,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,166.0,NAN
50047,ScrubUp,NAN,NAN,NAN,83.0,97.0,119.0,75.0,84.0,93.0,105.0,120.0,-15.0
50143,R3 | $limChang,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,102.0,NAN
50937,Wumbo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,439.0,NAN
51055,bird | unlucky,NAN,NAN,NAN,NAN,135.0,156.0,179.0,212.0,224.0,289.0,324.0,-35.0
51112,Pilgrim,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,271.0,306.0,-35.0
51488,Maher,NAN,NAN,NAN,NAN,54.0,63.0,70.0,76.0,84.0,96.0,106.0,-10.0
51608,Vitro,43.0,66.0,82.0,132.0,164.0,189.0,215.0,242.0,256.0,337.0,384.0,-47.0
53112,8-bit | dansdaman,NAN,NAN,NAN,NAN,NAN,100.0,116.0,132.0,145.0,175.0,197.0,-22.0
53131,DHB | IggyNieves,NAN,NAN,NAN,83.0,97.0,119.0,137.0,158.0,168.0,206.0,229.0,-23.0
53365,Ringler,50.0,81.0,99.0,160.0,191.0,217.0,248.0,280.0,299.0,403.0,464.0,-61.0
54316,Stone,NAN,NAN,NAN,125.0,157.0,179.0,203.0,231.0,243.0,320.0,362.0,-42.0
54390,Bonn Esports | Question,NAN,27.0,36.0,31.0,40.0,48.0,54.0,61.0,65.0,75.0,85.0,-10.0
55354,Travy,NAN,NAN,NAN,90.0,67.0,75.0,88.0,102.0,110.0,127.0,143.0,-16.0
56287,Sporsinick,NAN,NAN,NAN,120.0,148.0,168.0,190.0,223.0,235.0,307.0,345.0,-38.0
58588,Jeffthecheff,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,271.0,270.0,1.0
58670,RCS | Savestate,NAN,NAN,NAN,NAN,NAN,NAN,NAN,86.0,96.0,112.0,125.0,-13.0
60417,SoS | Cor,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,241.0,270.0,-29.0
60696,FM | Cilan,NAN,32.0,21.0,25.0,33.0,30.0,35.0,40.0,45.0,48.0,54.0,-6.0
61570,YC | Pappi,NAN,NAN,NAN,62.0,72.0,58.0,19.0,20.0,22.0,23.0,25.0,-2.0
61640,CAPTwheatroll,NAN,NAN,NAN,NAN,NAN,NAN,203.0,231.0,243.0,320.0,362.0,-42.0
61873,306 | Polo,19.0,35.0,42.0,58.0,67.0,75.0,88.0,102.0,110.0,127.0,143.0,-16.0
61897,lluZ | PEP | LSD,5.0,8.0,4.0,2.0,2.0,5.0,5.0,5.0,6.0,6.0,5.0,1.0
62206,mia,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,337.0,384.0,-47.0
62632,TheRed,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,362.0,NAN
62721,UL | Dirty Lasagna,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.0,NAN
63720,TNC | n3zModGod,NAN,NAN,NAN,120.0,148.0,168.0,190.0,86.0,96.0,112.0,125.0,-13.0
64260,Hellraid,NAN,NAN,NAN,176.0,207.0,234.0,267.0,280.0,299.0,320.0,362.0,-42.0
64644,STP,NAN,NAN,NAN,NAN,128.0,94.0,82.0,96.0,94.0,109.0,121.0,-12.0
64692,SANS | Blues Clues,13.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,0.0
65566,Miranda,47.0,75.0,91.0,150.0,148.0,168.0,190.0,143.0,155.0,135.0,109.0,26.0
65598,rickey_kc,NAN,NAN,NAN,140.0,172.0,196.0,223.0,252.0,270.0,359.0,408.0,-49.0
65760,Albuh,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,464.0,NAN
65777,bobby big ballz,9.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
67516,jeff | raid shadow legends,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,166.0,NAN
68728,Flowers,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,507.0,NAN
69524,Dusk,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,306.0,NAN
71263,Cyan Can,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,440.0,507.0,-67.0
71442,Wiza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,439.0,NAN
127639,Neologism,NAN,NAN,NAN,51.0,30.0,35.0,39.0,44.0,47.0,55.0,63.0,-8.0
127997,CW | Skittles,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,82.0,51.0,31.0
129261,Zura,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,408.0,NAN
129363,Flow | ESPONJA,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,178.0,NAN
129781,LL | Duky,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,225.0,249.0,-24.0
130672,Soltrain,NAN,NAN,NAN,101.0,83.0,90.0,103.0,117.0,127.0,143.0,159.0,-16.0
131635,afx,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,507.0,NAN
132537,RG | Far!,NAN,NAN,NAN,NAN,20.0,16.0,21.0,23.0,25.0,26.0,30.0,-4.0
132627,Farko,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,337.0,384.0,-47.0
132938,RU | Midnight Blue,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,362.0,NAN
133666,404 YC | Salt,NAN,NAN,NAN,NAN,37.0,45.0,50.0,58.0,62.0,38.0,41.0,-3.0
135088,LFG | PanterA,NAN,NAN,NAN,NAN,NAN,NAN,NAN,48.0,51.0,58.0,65.0,-7.0
135157,billybopeep,19.0,35.0,42.0,58.0,67.0,75.0,88.0,102.0,110.0,127.0,143.0,-16.0
138710,Golden,12.0,18.0,26.0,31.0,40.0,48.0,21.0,23.0,25.0,26.0,30.0,-4.0
144133,YBBT | leroydankins,NAN,NAN,85.0,140.0,172.0,110.0,116.0,132.0,145.0,145.0,143.0,2.0
144798,akir,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,115.0,NAN
145075,blazerboy,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,403.0,464.0,-61.0
147251,GS | TreyTheTrashman,NAN,69.0,85.0,140.0,172.0,196.0,223.0,252.0,270.0,359.0,408.0,-49.0
147424,Spiral Cafe | Krudo,NAN,NAN,NAN,26.0,34.0,40.0,44.0,51.0,54.0,60.0,71.0,-11.0
