SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,RWeek9,RWeek10,RWeek11,RWeek12,ChangeInRank
7634,MT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,65.0,71.0,80.0,89.0,100.0,-11.0
7654,Schnurb,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,313.0,NAN
7693,Kanye Rest,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,271.0,236.0,261.0,-25.0
8096,Salty Seth,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,313.0,NAN
10060,PapaNoJohns,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,313.0,NAN
10228,Flow | Stark,NAN,NAN,NAN,NAN,NAN,NAN,NAN,158.0,168.0,206.0,162.0,167.0,-5.0
10282,Air,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,118.0,NAN
10298,119 | Fabio,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,249.0,279.0,-30.0
10362,Elk G | Ivayne,NAN,NAN,NAN,NAN,135.0,70.0,78.0,90.0,100.0,85.0,95.0,105.0,-10.0
10430,FreeSSBM,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,313.0,NAN
10485,DD,16.0,13.0,11.0,11.0,11.0,13.0,14.0,15.0,17.0,18.0,18.0,19.0,-1.0
10520,CREW | G,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,189.0,212.0,231.0,-19.0
10529,The Leaf,NAN,18.0,26.0,31.0,40.0,48.0,54.0,61.0,65.0,75.0,85.0,95.0,-10.0
10562,SFOP,NAN,NAN,NAN,NAN,NAN,NAN,NAN,31.0,16.0,12.0,12.0,12.0,0.0
10653,Joshuwasha,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,182.0,NAN
10666,SF | Herrán,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,153.0,171.0,182.0,-11.0
10994,RedHousePainter,NAN,NAN,NAN,NAN,NAN,NAN,NAN,223.0,235.0,307.0,345.0,383.0,-38.0
11490,Dash,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,289.0,132.0,59.0,73.0
11590,Rickeye_rick,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,342.0,NAN
11603,Arctic,NAN,NAN,NAN,NAN,87.0,75.0,88.0,102.0,110.0,127.0,143.0,160.0,-17.0
11606,Elk_G | Karm,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,241.0,229.0,254.0,-25.0
11781,htwa,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,189.0,92.0,102.0,-10.0
11945,CSTR#106 | Strazz,50.0,63.0,69.0,106.0,128.0,151.0,174.0,128.0,110.0,106.0,112.0,115.0,-3.0
11961,Mucho Man Randy Passion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,387.0,345.0,383.0,-38.0
12048,K8A,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,36.0,33.0,22.0,25.0,-3.0
12137,yingling,24.0,44.0,23.0,27.0,35.0,32.0,37.0,43.0,34.0,37.0,33.0,36.0,-3.0
12353,Twisty,NAN,16.0,13.0,17.0,21.0,22.0,27.0,32.0,37.0,38.0,41.0,46.0,-5.0
12817,WU | nerodero,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,313.0,NAN
13376,Dhir,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,464.0,513.0,-49.0
13385,ePG | Chevy,NAN,NAN,NAN,NAN,NAN,44.0,49.0,57.0,61.0,71.0,81.0,91.0,-10.0
13622,Blu-J,56.0,90.0,112.0,176.0,207.0,234.0,267.0,300.0,324.0,440.0,507.0,561.0,-54.0
13639,21! | Ronan,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,483.0,NAN
13664,codeman,NAN,NAN,NAN,90.0,103.0,128.0,148.0,174.0,186.0,225.0,249.0,279.0,-30.0
13748,Null,NAN,NAN,16.0,12.0,14.0,18.0,23.0,25.0,27.0,29.0,32.0,37.0,-5.0
13765,Help,NAN,NAN,NAN,NAN,119.0,103.0,80.0,92.0,103.0,121.0,109.0,97.0,12.0
13906,SSBM-T | LuigiKid,NAN,NAN,NAN,NAN,NAN,NAN,NAN,192.0,206.0,257.0,284.0,313.0,-29.0
13932,Mango's Friend | Lucky,NAN,NAN,NAN,22.0,26.0,27.0,30.0,14.0,14.0,17.0,17.0,17.0,0.0
13956,Vino,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,186.0,155.0,31.0
13960,RB | V$,NAN,NAN,91.0,150.0,185.0,210.0,241.0,272.0,291.0,387.0,439.0,483.0,-44.0
14025,Austintacious,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,289.0,324.0,361.0,-37.0
14062,Jzhu,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,270.0,200.0,70.0
14305,Nard Dawg,NAN,NAN,NAN,NAN,NAN,NAN,NAN,204.0,71.0,73.0,67.0,71.0,-4.0
14489,Crow,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,383.0,NAN
14617,DiscipleOfBorp,43.0,66.0,82.0,132.0,164.0,189.0,215.0,242.0,256.0,337.0,384.0,424.0,-40.0
15060,Just Jason,NAN,NAN,NAN,176.0,207.0,234.0,267.0,300.0,324.0,440.0,507.0,561.0,-54.0
15070,Verdo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,241.0,270.0,151.0,119.0
15171,oh,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,84.0,96.0,106.0,115.0,-9.0
15298,Cowbell,NAN,NAN,49.0,49.0,59.0,66.0,57.0,54.0,33.0,31.0,28.0,27.0,1.0
15390,Tammerath,NAN,NAN,NAN,NAN,NAN,NAN,163.0,185.0,197.0,241.0,270.0,300.0,-30.0
15678,Zeph,NAN,NAN,NAN,90.0,103.0,128.0,148.0,174.0,186.0,225.0,249.0,279.0,-30.0
15948,glum oinkin',NAN,75.0,91.0,150.0,185.0,210.0,241.0,272.0,291.0,387.0,439.0,483.0,-44.0
