SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8
164047.0,CG | Firebolt,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
170887.0,Ahung,2,0,-2.0,-2.0,-2.0,-2,-1,-1,-2,-2
171034.0,Den,2,0,-2.0,-2.0,-2.0,-2,-1,-2,-1,-2
171111.0,UARK | VentusWK,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
173178.0,LAG,4,2,-2.0,-2.0,-2.0,-1,-1,9,17,-2
174790.0,Mounir,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
175324.0,Dandy,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
175490.0,QoT | Cruelscotty,2,0,-2.0,-2.0,-2.0,-1,-1,-2,-2,-2
176387.0,Badboi,2,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-1
178194.0,foxmcchicken,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
182665.0,Elysian,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
183280.0,WW | Lemonjuices,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
183400.0,Doctor Dank,1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2
183677.0,Yamasaki,3,0,-2.0,-2.0,-2.0,-1,-2,-2,-1,-1
185178.0,Captain Koala,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
185618.0,Captain G,1,1,13.0,-2.0,-2.0,-2,-2,-2,-2,-2
186967.0,Bug Juice | Snorlaxative,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
205873.0,Funktrocious,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
213911.0,jtetter,3,0,-2.0,-2.0,-2.0,-2,-2,-1,-1,-1
217541.0,noChill,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
219761.0,volt.,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
219919.0,Frozone,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
221423.0,Typhoon,3,2,-2.0,-2.0,-2.0,-2,-2,-1,13,17
223503.0,Rigo Bigo,1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2
225081.0,:3 | fenceturtle,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,13
228514.0,dabt,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
229216.0,KaiKwonDo,3,0,-2.0,-1.0,-2.0,-2,-1,-1,-2,-2
230537.0,hHerb,2,0,-2.0,-2.0,-2.0,-1,-2,-1,-2,-2
232213.0,MikeDrop,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
241260.0,Alex18+,3,1,-1.0,25.0,-2.0,-2,-1,-2,-2,-2
250581.0,Fizz,2,2,-2.0,9.0,-2.0,9,-2,-2,-2,-2
253180.0,Yuki08,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
255496.0,ericiscool.net,4,1,-1.0,-2.0,17.0,-2,-2,-1,-2,-1
257025.0,2Framez,2,0,-1.0,-1.0,-2.0,-2,-2,-2,-2,-2
257406.0,Lotfy,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,9
259437.0,Daddy Icey,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
264211.0,BLM | Rats!,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
265808.0,NOOT,3,2,-1.0,-2.0,-2.0,7,-2,-2,13,-2
268767.0,markrevival,5,0,-2.0,-2.0,-1.0,-1,-1,-1,-2,-1
275884.0,Maljo,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
276041.0,Kettering,4,0,-2.0,-2.0,-2.0,-2,-1,-1,-1,-1
279722.0,EP | Justus,3,2,17.0,-2.0,7.0,-2,-2,-2,-2,-1
279871.0,KLAWHAU5,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
286517.0,Thad <3,5,0,-1.0,-1.0,-2.0,-1,-2,-1,-2,-1
288395.0,jams,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
294260.0,ABG | salami,1,1,17.0,-2.0,-2.0,-2,-2,-2,-2,-2
301566.0,JustJoshin,2,0,-2.0,-1.0,-1.0,-2,-2,-2,-2,-2
310321.0,TC | BuyMyMixTape,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
312097.0,Nyte,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
312135.0,AlyJ,1,1,-2.0,-2.0,-2.0,-2,-2,9,-2,-2
315101.0,Rozu,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
325974.0,SDJ,1,1,-2.0,-2.0,9.0,-2,-2,-2,-2,-2
327212.0,Marrgasm,4,2,-1.0,17.0,-2.0,-2,17,-2,-2,-1
329160.0,ZUTH | Zuthane,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2
329937.0,LanTurN,2,0,-2.0,-2.0,-1.0,-1,-2,-2,-2,-2
330200.0,TT | Dair,2,0,-2.0,-2.0,-2.0,-1,-1,-2,-2,-2
353165.0,Milo,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
357233.0,Afron,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
360229.0,BEBO,3,0,-2.0,-2.0,-2.0,-2,-2,-1,-1,-1
364725.0,LUNK#783 | dom,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2
367758.0,Rose,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
370970.0,Mahik,1,1,-2.0,-2.0,-2.0,-2,-2,-2,17,-2
391890.0,TheFormuoli,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
395730.0,PQ2 | CPU0,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
407878.0,Slump,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
413573.0,John,2,0,-2.0,-2.0,-1.0,-2,-2,-1,-2,-2
418257.0,CardsNG,2,1,-2.0,-2.0,-2.0,-2,-2,-2,-1,17
418740.0,ManRay,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
420458.0,Jorge,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
424095.0,Frost | JJK,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
425209.0,Acuna,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
451734.0,CID,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
465131.0,Hunybear,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
478083.0,saacdaddy,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
483428.0,DCG | Spots,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2
493224.0,Futz,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
508569.0,eh | sickø,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2
508959.0,BCM | veggies,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
