SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,ChangeInRank
223503,Rigo Bigo,NAN,65.0,80.0,125.0,157.0,-32.0
229216,KaiKwonDo,NAN,75.0,91.0,150.0,128.0,22.0
230537,hHerb,NAN,NAN,NAN,132.0,164.0,-32.0
241260,Alex18+,47.0,51.0,58.0,88.0,74.0,14.0
250581,Fizz,NAN,14.0,22.0,14.0,16.0,-2.0
255496,ericiscool.net,50.0,81.0,56.0,83.0,97.0,-14.0
257025,2Framez,31.0,48.0,54.0,78.0,92.0,-14.0
259437,Daddy Icey,NAN,NAN,NAN,NAN,207.0,NAN
264211,BLM | Rats!,NAN,NAN,NAN,78.0,92.0,-14.0
265808,NOOT,38.0,56.0,69.0,20.0,24.0,-4.0
268767,markrevival,NAN,NAN,99.0,125.0,119.0,6.0
276041,Kettering,NAN,NAN,NAN,NAN,164.0,NAN
279722,EP | Justus,17.0,30.0,12.0,15.0,17.0,-2.0
279871,KLAWHAU5,NAN,NAN,NAN,160.0,191.0,-31.0
286517,Thad <3,37.0,44.0,52.0,67.0,79.0,-12.0
288395,jams,43.0,66.0,82.0,132.0,164.0,-32.0
294260,ABG | salami,19.0,35.0,42.0,58.0,67.0,-9.0
301566,JustJoshin,NAN,69.0,58.0,88.0,102.0,-14.0
310321,TC | BuyMyMixTape,NAN,NAN,NAN,112.0,135.0,-23.0
325974,SDJ,NAN,NAN,25.0,30.0,39.0,-9.0
327212,Marrgasm,28.0,25.0,32.0,45.0,36.0,9.0
329160,ZUTH | Zuthane,NAN,NAN,91.0,150.0,185.0,-35.0
329937,LanTurN,NAN,NAN,65.0,66.0,77.0,-11.0
330200,TT | Dair,NAN,NAN,NAN,132.0,148.0,-16.0
353165,Milo,26.0,48.0,54.0,78.0,92.0,-14.0
357233,Afron,56.0,90.0,112.0,176.0,207.0,-31.0
364725,LUNK#783 | dom,NAN,NAN,99.0,160.0,191.0,-31.0
367758,Rose,NAN,NAN,NAN,176.0,207.0,-31.0
391890,TheFormuoli,31.0,54.0,62.0,96.0,110.0,-14.0
407878,Slump,40.0,59.0,73.0,112.0,135.0,-23.0
413573,John,NAN,NAN,65.0,101.0,119.0,-18.0
420458,Jorge,NAN,NAN,NAN,73.0,87.0,-14.0
424095,Frost | JJK,56.0,90.0,112.0,176.0,207.0,-31.0
451734,CID,NAN,NAN,NAN,NAN,172.0,NAN
465131,Hunybear,23.0,43.0,51.0,73.0,87.0,-14.0
478083,saacdaddy,NAN,NAN,NAN,140.0,172.0,-32.0
483428,DCG | Spots,NAN,NAN,99.0,160.0,191.0,-31.0
493224,Futz,NAN,NAN,NAN,NAN,172.0,NAN
508569,eh | sickø,NAN,NAN,80.0,125.0,157.0,-32.0
508959,BCM | veggies,NAN,NAN,NAN,NAN,148.0,NAN
526019,CSR | Tezlik,NAN,NAN,NAN,NAN,103.0,NAN
528737,3OutChange,NAN,81.0,99.0,160.0,191.0,-31.0
585236,306 | Amrak,31.0,20.0,10.0,10.0,12.0,-2.0
617254,N8V,50.0,81.0,99.0,160.0,191.0,-31.0
627118,Pipe,31.0,40.0,47.0,42.0,32.0,10.0
641180,Luppi,NAN,81.0,99.0,160.0,191.0,-31.0
657175,Bobakanoosh,NAN,NAN,NAN,140.0,172.0,-32.0
657464,CowCowCowCowCow,NAN,41.0,35.0,48.0,58.0,-10.0
682345,Rive,NAN,NAN,NAN,NAN,85.0,NAN
694497,Ben,NAN,NAN,NAN,NAN,19.0,NAN
694759,snek,NAN,NAN,NAN,150.0,172.0,-22.0
700566,olé,NAN,NAN,NAN,NAN,119.0,NAN
703647,LVD | Super,NAN,NAN,NAN,NAN,207.0,NAN
709843,Chem,14.0,22.0,29.0,41.0,51.0,-10.0
718293,Nico,NAN,69.0,85.0,140.0,172.0,-32.0
735376,CVSmashMods | Ripn,NAN,69.0,85.0,140.0,172.0,-32.0
789026,Douglas.J.Gov,NAN,NAN,NAN,83.0,97.0,-14.0
858866,SLO | GrizzlyBair,NAN,NAN,NAN,96.0,110.0,-14.0
862074,snacklepackle,NAN,NAN,NAN,101.0,55.0,46.0
885830,HorseGirl420,NAN,NAN,NAN,NAN,172.0,NAN
897815,moscow mich,NAN,NAN,73.0,112.0,135.0,-23.0
925369,Fishpaste,50.0,81.0,99.0,160.0,191.0,-31.0
927948,cliché,10.0,12.0,19.0,18.0,15.0,3.0
1047164,lemon,NAN,NAN,NAN,176.0,207.0,-31.0
1094290,SDJ | SudoJoe,NAN,NAN,NAN,NAN,135.0,NAN
1099771,PP | Droze,NAN,NAN,NAN,176.0,207.0,-31.0
1186877,Tomz,NAN,NAN,112.0,176.0,207.0,-31.0
1263692,CSB | ushi,NAN,NAN,NAN,NAN,164.0,NAN
1301072,Melos,NAN,NAN,NAN,132.0,148.0,-16.0
1312079,ACAB | Mugen,NAN,NAN,NAN,NAN,207.0,NAN
1315595,Sleeepy,NAN,NAN,NAN,176.0,207.0,-31.0
1322460,8167263631 | Notto,NAN,NAN,NAN,176.0,207.0,-31.0
1325809,CB,NAN,NAN,NAN,NAN,110.0,NAN
1575919,Snickerdoodle,NAN,NAN,NAN,NAN,207.0,NAN
1598204,YoungHanSolo,NAN,NAN,NAN,NAN,135.0,NAN
1640788,Special K,NAN,NAN,NAN,NAN,185.0,NAN
1682252,BABA | shama,NAN,NAN,NAN,90.0,103.0,-13.0
1682516,BABA | Babo,NAN,NAN,NAN,160.0,191.0,-31.0
1794541,Chubbz,NAN,NAN,NAN,78.0,92.0,-14.0
