SmasherID,SmashTag,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,WinPercentage,PlaceWeek1,PlacePoints,PlacePoints1,Points,Rank
38175,W8ASec,7,7,0,0,1,0,0,0,0,0.5,-1,0.0,0.0,12.0,28.0
38643,RedX,7,10,0,1,0,0,0,0,0,0.4117647058823529,-1,0.0,0.0,8.0,40.0
286517,Thad <3,5,4,0,0,1,0,0,0,0,0.5555555555555556,-1,0.0,0.0,10.0,37.0
407878,Slump,7,12,0,1,0,0,0,0,0,0.3684210526315789,-1,0.0,0.0,8.0,40.0
4864,Theftz,3,6,0,1,0,0,0,0,0,0.3333333333333333,-1,0.0,0.0,4.0,46.0
627118,Pipe,6,13,0,0,1,0,0,0,0,0.3157894736842105,-1,0.0,0.0,11.0,31.0
391890,TheFormuoli,10,14,0,1,0,0,0,0,0,0.4166666666666667,-1,0.0,0.0,11.0,31.0
51608,Vitro,4,6,0,1,0,0,0,0,0,0.4,-1,0.0,0.0,5.0,43.0
14617,DiscipleOfBorp,4,11,0,1,0,0,0,0,0,0.26666666666666666,-1,0.0,0.0,5.0,43.0
288395,jams,4,16,0,1,0,0,0,0,0,0.2,-1,0.0,0.0,5.0,43.0
53365,Ringler,1,11,0,1,0,0,0,0,0,0.08333333333333333,-1,0.0,0.0,2.0,50.0
617254,N8V,1,8,0,1,0,0,0,0,0,0.1111111111111111,-1,0.0,0.0,2.0,50.0
2082068,CarltonDanks,0,5,0,1,0,0,0,0,0,0.0,-1,0.0,0.0,1.0,56.0
40403,Pawn,0,17,0,1,0,0,0,0,0,0.0,-1,0.0,0.0,1.0,56.0
61897,LSD,14,3,0,0,0,0,1,0,0,0.8235294117647058,5,95.0,95.0,124.0,5.0
3561,Ginger,20,4,0,0,0,0,1,0,0,0.8333333333333334,1,200.0,200.0,235.0,1.0
21215,Dom,13,6,0,0,0,1,0,0,0,0.6842105263157895,7,75.0,75.0,98.0,8.0
1077,Revenge | Gahtzu,8,2,0,0,0,1,0,0,0,0.8,3,150.0,150.0,168.0,3.0
138710,Golden,8,3,0,0,0,1,0,0,0,0.7272727272727273,9,45.0,45.0,63.0,12.0
23920,GHQ | Zamu,11,5,0,0,0,1,0,0,0,0.6875,9,45.0,45.0,66.0,11.0
709843,Chem,13,10,0,0,0,1,0,0,0,0.5652173913043478,13,25.0,25.0,48.0,14.0
185618,Captain G,12,10,0,0,0,1,0,0,0,0.5454545454545454,13,25.0,25.0,47.0,15.0
4748,GST | Ryobeat,6,2,0,0,1,0,0,0,0,0.75,-1,0.0,0.0,11.0,31.0
465131,Hunybear,12,9,0,0,1,0,0,0,0,0.5714285714285714,-1,0.0,0.0,17.0,23.0
147811,Dawson,9,8,0,0,1,0,0,0,0,0.5294117647058824,-1,0.0,0.0,14.0,27.0
257025,2Framez,6,3,0,0,1,0,0,0,0,0.6666666666666666,-1,0.0,0.0,11.0,31.0
26153,DarkGenex,11,11,0,0,1,0,0,0,0,0.5,-1,0.0,0.0,16.0,24.0
353165,Milo,10,10,0,0,1,0,0,0,0,0.5,-1,0.0,0.0,15.0,26.0
5618,ANTIFA CEO | Quiggles,11,14,0,1,0,0,0,0,0,0.44,-1,0.0,0.0,12.0,28.0
16066,TG NBR | Panos,4,4,0,0,1,0,0,0,0,0.5,-1,0.0,0.0,9.0,38.0
45356,OtES,7,12,0,1,0,0,0,0,0,0.3684210526315789,-1,0.0,0.0,8.0,40.0
65566,Miranda,2,4,0,1,0,0,0,0,0,0.3333333333333333,-1,0.0,0.0,3.0,47.0
255496,ericiscool.net,1,2,0,1,0,0,0,0,0,0.3333333333333333,-1,0.0,0.0,2.0,50.0
158148,Chewy,2,8,0,1,0,0,0,0,0,0.2,-1,0.0,0.0,3.0,47.0
241260,Alex18+,2,8,0,1,0,0,0,0,0,0.2,-1,0.0,0.0,3.0,47.0
925369,Fishpaste,1,9,0,1,0,0,0,0,0,0.1,-1,0.0,0.0,2.0,50.0
11945,Strazz,1,9,0,1,0,0,0,0,0,0.1,-1,0.0,0.0,2.0,50.0
155077,radvillainy,1,11,0,1,0,0,0,0,0,0.08333333333333333,-1,0.0,0.0,2.0,50.0
13622,Blu-J,0,2,0,1,0,0,0,0,0,0.0,-1,0.0,0.0,1.0,56.0
424095,Frost | JJK,0,4,0,1,0,0,0,0,0,0.0,-1,0.0,0.0,1.0,56.0
357233,Afron,0,4,0,1,0,0,0,0,0,0.0,-1,0.0,0.0,1.0,56.0
1017,S2J,4,2,0,0,0,0,0,0,1,0.6666666666666666,4,125.0,125.0,139.0,4.0
